"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Chordeiles minor","2018-06-12 11:30:00 -0700","","Siskiyou County, CA, USA",41.9869493259,-122.3832837218,"","Common Nighthawk","https://www.inaturalist.org/observations/114731880","https://static.inaturalist.org/photos/193705894/medium.jpg","jimm_meissner",114731880,"Common Nighthawk","Aves",19577,0,0,"2018/06/12 11:30 AM","2018-06-12","2018-06-12 18:30:00 UTC","Pacific Time (US & Canada)",488,488,"","open","false","","",4644515,"2022-05-02 15:57:50 UTC","2022-05-02 15:57:50 UTC","needs_id","","",NA,"false"
"Trochilidae","2018-06-12 16:44:10 -0300","","Stringham Way, Dublin, CA, US",37.705825,-121.8546916667,"","Hummingbirds","https://www.inaturalist.org/observations/111845718","https://inaturalist-open-data.s3.amazonaws.com/photos/188858783/medium.jpg","monicakay__",111845718,"","Aves",5562,0,0,"2018-06-12 15:44:10-04:00","2018-06-12","2018-06-12 19:44:10 UTC","Atlantic Time (Canada)",6,6,"","","false","","",5524400,"2022-04-17 22:03:37 UTC","2022-04-17 22:03:43 UTC","needs_id","CC-BY-NC","",3,"false"
"Chordeiles minor","2018-06-12 11:30:00 UTC","","Siskiyou County, CA, USA",41.999673668,-122.3726612723,"","Common Nighthawk","https://www.inaturalist.org/observations/110425254","https://static.inaturalist.org/photos/186275388/medium.jpeg","jimm_meissner",110425254,"Common Nighthawk","Aves",19577,1,0,"2018/06/12 11:30 AM UTC","2018-06-12","2018-06-12 11:30:00 UTC","UTC",122,122,"","open","false","","",4644515,"2022-04-04 20:33:10 UTC","2022-04-04 20:52:07 UTC","research","","",NA,"false"
"Ariolimax californicus","2018-06-12 11:59:05 +0200","","Big Basin Redwoods State Park, Boulder Creek, CA, US",37.1646833333,-122.2153083333,"","California Banana Slug","https://www.inaturalist.org/observations/108096056","https://static.inaturalist.org/photos/181933414/medium.jpg","sebetmaman",108096056,"California Banana Slug","Mollusca",48213,1,0,"Tue Jun 12 2018 11:59:05 GMT+0100 (GMT+1)","2018-06-12","2018-06-12 09:59:05 UTC","Amsterdam",10,10,"","","false","","",502723,"2022-03-07 07:57:43 UTC","2022-03-07 09:01:04 UTC","research","","",3,"false"
"Petrophytum caespitosum caespitosum","2018-06-12 15:30:00 -0700","","Inyo County, US-CA, US",36.4075155734,-117.7243116251,"","rock spiraea","https://www.inaturalist.org/observations/107911062","https://inaturalist-open-data.s3.amazonaws.com/photos/181582918/medium.jpeg","duncan_bell",107911062,"rock spiraea","Plantae",80111,1,0,"2018/06/12 3:30 PM PDT","2018-06-12","2018-06-12 22:30:00 UTC","Pacific Time (US & Canada)",10,28534,"obscured","","true","","",168298,"2022-03-04 21:54:47 UTC","2022-03-04 23:44:35 UTC","research","CC-BY-NC","",NA,"false"
"Halimolobos jaegeri","2018-06-12 16:28:00 -0700","D. Bell 11,982 (RSA)","Inyo County, CA, USA",36.5324583333,-117.7711111111,"","rock mustard","https://www.inaturalist.org/observations/107910991","https://inaturalist-open-data.s3.amazonaws.com/photos/181582775/medium.jpeg","duncan_bell",107910991,"rock mustard","Plantae",77330,1,0,"2018/06/12 4:28 PM PDT","2018-06-12","2018-06-12 23:28:00 UTC","Pacific Time (US & Canada)",10,10,"","","false","","",168298,"2022-03-04 21:53:10 UTC","2022-03-04 23:44:55 UTC","research","CC-BY-NC","",NA,"false"
"Hesperidanthus jaegeri","2018-06-12 16:30:00 -0700","D. Bell 11,981 (RSA)","Inyo County, US-CA, US",36.5122447665,-117.6949545995,"","Jaeger's Caulostramina","https://www.inaturalist.org/observations/107910580","https://inaturalist-open-data.s3.amazonaws.com/photos/181582005/medium.jpeg","duncan_bell",107910580,"Jaeger's Caulostramina","Plantae",77370,1,0,"2018/06/12 4:30 PM PDT","2018-06-12","2018-06-12 23:30:00 UTC","Pacific Time (US & Canada)",5,28534,"obscured","obscured","true","","",168298,"2022-03-04 21:46:39 UTC","2022-03-04 23:45:10 UTC","research","CC-BY-NC","",NA,"false"
"Perityle inyoensis","2018-06-12 16:00:00 -0700","D. Bell 11,980 (RSA)","Inyo County, US-CA, US",36.5431867603,-117.6111071244,"","inyo rockdaisy","https://www.inaturalist.org/observations/107910349","https://inaturalist-open-data.s3.amazonaws.com/photos/181581556/medium.jpeg","duncan_bell",107910349,"inyo rockdaisy","Plantae",78447,1,0,"2018/06/12 4:00 PM PDT","2018-06-12","2018-06-12 23:00:00 UTC","Pacific Time (US & Canada)",10,28534,"obscured","obscured","true","","",168298,"2022-03-04 21:41:58 UTC","2022-03-09 02:11:15 UTC","research","CC-BY-NC","",NA,"false"
"Celastrina echo echo","2018-06-12 17:42:00 -0400","Hatton Canyon
","Monterey County, CA, USA",36.5552468674,-121.9048949872,"","Pacific Azure","https://www.inaturalist.org/observations/104443079","https://static.inaturalist.org/photos/175006356/medium.jpg","markhollysalvato",104443079,"Pacific Azure","Insecta",705348,2,0,"2018/06/12 5:42 PM EDT","2018-06-12","2018-06-12 21:42:00 UTC","Eastern Time (US & Canada)",15,15,"","","false","","",1405682,"2022-01-06 03:12:29 UTC","2022-02-17 01:23:56 UTC","research","CC-BY-NC","",NA,"false"
"Polygonia oreas","2018-06-12 18:04:00 -0400","Hatton Canyon
","Monterey County, CA, USA",36.553826847,-121.9053987664,"","Oreas Comma","https://www.inaturalist.org/observations/104442905","https://static.inaturalist.org/photos/175006048/medium.jpg","markhollysalvato",104442905,"Oreas Comma","Insecta",117764,2,0,"2018/06/12 6:04 PM EDT","2018-06-12","2018-06-12 22:04:00 UTC","Eastern Time (US & Canada)",8,8,"","","false","","",1405682,"2022-01-06 03:07:31 UTC","2022-02-17 01:23:56 UTC","research","CC-BY-NC","",NA,"false"
"Anthocharis sara sara","2018-06-12 17:15:00 -0400","Hatton Canyon
","Monterey County, CA, USA",36.5553996488,-121.9047500032,"","","https://www.inaturalist.org/observations/104442781","https://static.inaturalist.org/photos/175005835/medium.jpg","markhollysalvato",104442781,"Anthocharis sara sara","Insecta",312695,2,0,"2018/06/12 5:15 PM EDT","2018-06-12","2018-06-12 21:15:00 UTC","Eastern Time (US & Canada)",15,15,"","","false","","",1405682,"2022-01-06 03:04:35 UTC","2022-02-17 01:23:56 UTC","research","CC-BY-NC","",NA,"false"
"Lon melane","2018-06-12 17:43:00 -0400","Hatton Canyon
","Monterey County, CA, USA",36.5580204417,-121.907596383,"","Umber Skipper","https://www.inaturalist.org/observations/104442558","https://static.inaturalist.org/photos/175005347/medium.jpg","markhollysalvato",104442558,"Umber Skipper","Insecta",1081332,1,0,"2018/06/12 5:43 PM EDT","2018-06-12","2018-06-12 21:43:00 UTC","Eastern Time (US & Canada)",4,4,"","","false","","",1405682,"2022-01-06 02:59:24 UTC","2022-02-17 01:23:56 UTC","research","CC-BY-NC","",NA,"false"
"Dipodomys","2018-06-12 21:59:00 UTC","","Kern County, CA, USA",34.9195499722,-119.38900625,"","Kangaroo Rats","https://www.inaturalist.org/observations/102221669","https://inaturalist-open-data.s3.amazonaws.com/photos/170825134/medium.jpg","pineten",102221669,"Kangaroo Rats","Mammalia",44098,0,0,"2018/06/12 9:59 PM UTC","2018-06-12","2018-06-12 21:59:00 UTC","UTC",NA,NA,"","","false","","",2048449,"2021-11-30 04:50:59 UTC","2021-11-30 04:50:59 UTC","needs_id","","",NA,"false"
