"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Psittacara erythrogenys","2000-05-14 00:00:00 +0100","","California, US",37.7891047141,-122.4683547611,"","Red-masked Parakeet","https://www.inaturalist.org/observations/62928438","https://inaturalist-open-data.s3.amazonaws.com/photos/100911336/medium.jpg","detlev_franz",62928438,"Red-masked Parakeet","Aves",367572,2,0,"2000/05/14","2000-05-14","","Paris",1782,28359,"","obscured","true",NA,NA,3749817,"2020-10-18 19:20:36 UTC","2020-10-21 04:57:40 UTC","research","CC-BY-NC",NA,NA,"false"
"Psittacara erythrogenys","2000-05-15 12:49:00 +0200","Wächter","California, US",37.8699168378,-122.4868129381,"alte1","Red-masked Parakeet","https://www.inaturalist.org/observations/62777909","https://inaturalist-open-data.s3.amazonaws.com/photos/100644550/medium.jpg","detlev_franz",62777909,"Red-masked Parakeet","Aves",367572,1,0,"2000/05/15 12:49 PM CEST","2000-05-15","2000-05-15 10:49:00 UTC","Paris",10,28329,"","obscured","true",NA,NA,3749817,"2020-10-17 10:59:27 UTC","2020-10-17 16:11:17 UTC","research","CC-BY-NC",NA,NA,"false"
"Trimorphodon lyrophanes","2000-05-20 07:20:00 -0700","","Palm Springs, CA, USA",33.8449772491,-116.5957575951,"","California Lyresnake","https://www.inaturalist.org/observations/53108018","https://static.inaturalist.org/photos/84451976/medium.jpeg","fundad",53108018,"California Lyresnake","Reptilia",71027,8,0,"2000/05/20 7:20 AM PDT","2000-05-20","2000-05-20 14:20:00 UTC","Pacific Time (US & Canada)",185,185,"","open","false",NA,NA,27908,"2020-07-15 00:15:09 UTC","2021-03-26 08:22:54 UTC","casual","",NA,NA,"false"
"Euconulus fulvus","2000-05-23 11:02:00 -0700","Trail Creek Canyon, east of Boundary Peak, White Mountains.","Esmeralda County, NV, USA",37.8238223349,-118.2668012584,"","Tawny Glass-snail","https://www.inaturalist.org/observations/51380802","https://inaturalist-open-data.s3.amazonaws.com/photos/81626395/medium.jpg","loismarkports",51380802,"Tawny Glass-snail","Mollusca",172099,1,0,"2000/05/23 11:02 AM PDT","2000-05-23","2000-05-23 18:02:00 UTC","Pacific Time (US & Canada)",977,977,"","","false",NA,NA,44550,"2020-06-29 17:44:47 UTC","2020-06-29 18:13:44 UTC","research","CC-BY-NC",NA,NA,"false"
"Agelaius phoeniceus","2000-05-31 00:00:00 -0500","","Yosemite National Park, Yosemite National Park, CA, US",37.7406586946,-119.5928751915,"","Red-winged Blackbird","https://www.inaturalist.org/observations/44517198","https://inaturalist-open-data.s3.amazonaws.com/photos/70580603/medium.jpg","mrhess2",44517198,"Red-winged Blackbird","Aves",9744,1,0,"2000-05-31","2000-05-31","","Eastern Time (US & Canada)",75,75,"","open","false",NA,NA,2784740,"2020-05-01 20:55:34 UTC","2020-05-01 22:10:45 UTC","research","CC-BY-NC",NA,3,"false"
"Marmota flaviventris","2000-05-27 00:00:00 -0500","","Kings Canyon National Park, Shaver Lake, CA, US",36.8042943886,-118.4011763114,"","Yellow-bellied Marmot","https://www.inaturalist.org/observations/44516564","https://inaturalist-open-data.s3.amazonaws.com/photos/70579723/medium.jpg","mrhess2",44516564,"Yellow-bellied Marmot","Mammalia",46086,3,0,"2000-05-27","2000-05-27","","Eastern Time (US & Canada)",75,75,"","open","false",NA,NA,2784740,"2020-05-01 20:50:17 UTC","2020-05-01 22:04:32 UTC","research","CC-BY-NC",NA,3,"false"
"Sceloporus","2000-05-26 00:00:00 -0500","","California, US",36.6803010435,-118.551174131,"","Spiny Lizards","https://www.inaturalist.org/observations/44516440","https://inaturalist-open-data.s3.amazonaws.com/photos/70579524/medium.jpg","mrhess2",44516440,"Spiny Lizards","Reptilia",36141,1,0,"2000-05-26","2000-05-26","","Eastern Time (US & Canada)",3090,28505,"obscured","","true",NA,NA,2784740,"2020-05-01 20:49:07 UTC","2020-05-06 19:54:29 UTC","needs_id","CC-BY-NC",NA,3,"false"
"Crotalus oreganus oreganus","2000-05-26 00:00:00 -0500","","California, US",36.798277806,-118.4881384783,"","Northern Pacific Rattlesnake","https://www.inaturalist.org/observations/44516098","https://inaturalist-open-data.s3.amazonaws.com/photos/70579135/medium.jpg","mrhess2",44516098,"Northern Pacific Rattlesnake","Reptilia",48267,4,0,"2000-05-26","2000-05-26","","Eastern Time (US & Canada)",1156,28505,"obscured","open","true",NA,NA,2784740,"2020-05-01 20:46:44 UTC","2022-01-11 20:41:12 UTC","research","CC-BY-NC",NA,3,"false"
"Odocoileus hemionus californicus","2000-05-26 00:00:00 -0500","","California, US",36.7666728575,-118.4171508576,"","California Mule Deer","https://www.inaturalist.org/observations/44515819","https://inaturalist-open-data.s3.amazonaws.com/photos/70578709/medium.jpg","mrhess2",44515819,"California Mule Deer","Mammalia",53985,1,0,"2000-05-26","2000-05-26","","Eastern Time (US & Canada)",415,28505,"obscured","open","true",NA,NA,2784740,"2020-05-01 20:44:06 UTC","2020-07-11 16:59:42 UTC","research","CC-BY-NC",NA,3,"false"
"Sequoiadendron giganteum","2000-05-25 00:00:00 -0500","","Hume, CA, US",36.7480052807,-118.9715513353,"","giant sequoia","https://www.inaturalist.org/observations/44515316","https://inaturalist-open-data.s3.amazonaws.com/photos/70577988/medium.jpg","mrhess2",44515316,"giant sequoia","Plantae",59567,1,0,"2000-05-25","2000-05-25","","Eastern Time (US & Canada)",71,71,"","open","false",NA,NA,2784740,"2020-05-01 20:39:52 UTC","2021-05-18 22:55:36 UTC","research","CC-BY-NC",NA,3,"false"
