"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Pica nuttalli","2005-09-13 15:11:00 -0400","","California, US",38.5196614328,-121.5851727307,"","Yellow-billed Magpie","https://www.inaturalist.org/observations/105382803","https://inaturalist-open-data.s3.amazonaws.com/photos/176805157/medium.jpg","davidgascoigne",105382803,"Yellow-billed Magpie","Aves",8319,3,0,"2005/09/13 3:11 PM EDT","2005-09-13","2005-09-13 19:11:00 UTC","Eastern Time (US & Canada)",18662,28240,"","obscured","true","","",1073743,"2022-01-22 20:13:23 UTC","2022-02-09 20:29:24 UTC","research","CC-BY-NC",NA,NA,"false"
"Cyanocitta stelleri","2005-09-15 00:00:00 -0500","","47225 California 1, Big Sur, CA 93920, USA",36.1588246,-121.5267654,"","Steller's Jay","https://www.inaturalist.org/observations/105328801","https://inaturalist-open-data.s3.amazonaws.com/photos/176703188/medium.jpg","davidgascoigne",105328801,"Steller's Jay","Aves",8234,1,0,"2005/09/15","2005-09-15","","Eastern Time (US & Canada)",22905,22905,"","open","false","","",1073743,"2022-01-21 21:18:42 UTC","2022-01-22 20:11:17 UTC","research","CC-BY-NC",NA,NA,"false"
"Corvus brachyrhynchos","2005-09-15 16:31:00 -0400","","47225 California 1, Big Sur, CA 93920, USA",36.1588246,-121.5267654,"","American Crow","https://www.inaturalist.org/observations/105118507","https://inaturalist-open-data.s3.amazonaws.com/photos/176299446/medium.jpg","davidgascoigne",105118507,"American Crow","Aves",8021,1,0,"2005/09/15 4:31 PM EDT","2005-09-15","2005-09-15 20:31:00 UTC","Eastern Time (US & Canada)",22905,22905,"","open","false","","",1073743,"2022-01-17 21:32:11 UTC","2022-01-17 22:23:41 UTC","research","CC-BY-NC",NA,NA,"false"
"Urile penicillatus","2005-09-20 10:45:00 -0400","Ignore the alcid.","Monterey Peninsula Recreational Trail, Monterey, CA, USA",36.6180976,-121.849349,"","Brandt's Cormorant","https://www.inaturalist.org/observations/105100386","https://inaturalist-open-data.s3.amazonaws.com/photos/176263993/medium.jpg","davidgascoigne",105100386,"Brandt's Cormorant","Aves",1289607,1,0,"2005/09/20 10:45 AM EDT","2005-09-20","2005-09-20 14:45:00 UTC","Eastern Time (US & Canada)",192,192,"","open","false","","",1073743,"2022-01-17 15:46:32 UTC","2022-05-15 06:01:04 UTC","research","CC-BY-NC",NA,NA,"false"
"Masticophis lateralis lateralis","2005-09-26 13:20:00 -0500","Chaparral Whipsnake (Masticophis lateralis lateralis), central San Diego, California","San Diego County, US-CA, US",32.9659939706,-116.9383104638,"Chaparral Whipsnake, Whipsnake, snake, California Striped Racer, Striped Racer, Masticophis, lateralis, Colubridae, Colubrinae, San Diego, California, Peninsular Range","California Striped Racer","https://www.inaturalist.org/observations/102637437","https://inaturalist-open-data.s3.amazonaws.com/photos/171616711/medium.jpeg","squamatologist",102637437,"California Striped Racer","Reptilia",734682,2,0,"2005/09/26 1:20 PM CDT","2005-09-26","2005-09-26 18:20:00 UTC","Central Time (US & Canada)",2,29039,"obscured","open","true","","",5219872,"2021-12-07 01:39:42 UTC","2021-12-13 23:11:06 UTC","research","CC-BY-NC",NA,NA,"false"
"Lampropeltis californiae","2005-09-23 17:10:00 -0500","California Kingsnake (Lampropeltis californiae), southwestern San Diego County, California","San Diego, CA, USA",32.8466986743,-117.0304794786,"California Kingsnake, Kingsnake, snake, Lampropeltis, californiae, Colubridae, Colubrinae, Lampropeltini, San Diego, California, Peninsular Range","California King Snake","https://www.inaturalist.org/observations/102637105","https://inaturalist-open-data.s3.amazonaws.com/photos/171616021/medium.jpeg","squamatologist",102637105,"California King Snake","Reptilia",146199,3,0,"2005/09/23 5:10 PM CDT","2005-09-23","2005-09-23 22:10:00 UTC","Central Time (US & Canada)",150,150,"","open","false","","",5219872,"2021-12-07 01:32:35 UTC","2021-12-30 16:19:56 UTC","research","CC-BY-NC",NA,NA,"false"
"Tamarix","2005-09-17 08:41:00 -0500","Saltcedar (Tamarix sp.), southwestern San Diego County, California","Tijuana River Valley, San Diego, CA, USA",32.5540586046,-117.0861653417,"Tamarix, Saltcedar, Tamaricaceae, flower, plant, San Diego, California, South Coast, invasive species","Tamarisks","https://www.inaturalist.org/observations/102636918","https://inaturalist-open-data.s3.amazonaws.com/photos/171615412/medium.jpeg","squamatologist",102636918,"Tamarisks","Plantae",51305,1,0,"2005/09/17 8:41 AM CDT","2005-09-17","2005-09-17 13:41:00 UTC","Central Time (US & Canada)",175,175,"","","false","","",5219872,"2021-12-07 01:28:12 UTC","2021-12-07 13:44:31 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Mesembryanthemum crystallinum","2005-09-17 08:32:00 -0500","Crystalline Ice Plant (Mesembryanthemum crystallinum), southwestern San Diego County, California","Tijuana River Valley, San Diego, CA, USA",32.5540586046,-117.0861653417,"Crystalline Ice Plant, Mesembryanthemum, crystallinum, Ice Plant, Aizoaceae, plant, San Diego, California, South Coast, invasive species","Crystalline ice plant","https://www.inaturalist.org/observations/102636917","https://inaturalist-open-data.s3.amazonaws.com/photos/171615405/medium.jpeg","squamatologist",102636917,"Crystalline ice plant","Plantae",49319,1,0,"2005/09/17 8:32 AM CDT","2005-09-17","2005-09-17 13:32:00 UTC","Central Time (US & Canada)",175,175,"","","false","","",5219872,"2021-12-07 01:28:12 UTC","2021-12-07 16:09:00 UTC","research","CC-BY-NC",NA,NA,"false"
"Ricinus communis","2005-09-17 07:24:00 -0500","Castor Bean (Ricinus communis), southwestern San Diego County, California","Tijuana River Valley, San Diego, CA, USA",32.5453882401,-117.0694498151,"Castor Bean, Ricinus, communis, Euphorbiaceae, plant, San Diego, California, South Coast, invasive species","castor bean","https://www.inaturalist.org/observations/102636916","https://inaturalist-open-data.s3.amazonaws.com/photos/171615395/medium.jpeg","squamatologist",102636916,"castor bean","Plantae",56739,2,0,"2005/09/17 7:24 AM CDT","2005-09-17","2005-09-17 12:24:00 UTC","Central Time (US & Canada)",500,500,"","","false","","",5219872,"2021-12-07 01:28:11 UTC","2021-12-07 16:09:00 UTC","research","CC-BY-NC",NA,NA,"false"
"Crocanthemum scoparium","2005-09-10 15:18:12 -0500","Yellow Rock-rose (Helianthemum scoparium), central San Diego County, California","Mussey Grove, California, United States",32.913513,-116.890283,"Crocanthemum, Helianthemum, scoparium, Common Rock-rose, san diego, Peninsular Range, california, Rushrose, Bisbee Peak Rushrose, Yellow Rock-rose, Rock-rose, Cistaceae, flower, Plant","peak rushrose","https://www.inaturalist.org/observations/102631010","https://inaturalist-open-data.s3.amazonaws.com/photos/171604670/medium.jpg","squamatologist",102631010,"Helianthemum scoparium","Plantae",926042,0,0,"2005-09-10 15:18:12","2005-09-10","2005-09-10 20:18:12 UTC","Central Time (US & Canada)",100,100,"","","false","","manual",5219872,"2021-12-06 23:12:09 UTC","2021-12-06 23:14:06 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Calypte anna","2005-09-11 17:40:58 -0500","Anna's Hummingbird (Calypte anna), southwestern San Diego County, California","San Diego, California, United States",32.776907,-117.071287,"Calypte, anna, Anna's Hummingbird, Hummingbird, bird, Trochilidae, Apodiformes, South Coast, San Diego, California, Trochiliformes, Aves","Anna's Hummingbird","https://www.inaturalist.org/observations/102631007","https://inaturalist-open-data.s3.amazonaws.com/photos/171604662/medium.jpg","squamatologist",102631007,"Anna's Hummingbird","Aves",6317,1,0,"2005-09-11 17:40:58","2005-09-11","2005-09-11 22:40:58 UTC","Central Time (US & Canada)",10,10,"","open","false","","manual",5219872,"2021-12-06 23:12:05 UTC","2021-12-07 01:30:25 UTC","research","CC-BY-NC",NA,NA,"false"
"Psorothamnus spinosus","2005-09-03 11:19:00 -0500","Smoketree (Psorothamnus spinosus), southeastern San Diego County, California","San Diego County, CA, USA",32.84440238,-116.2280860586,"Smoke Tree, smoketree, smokethorn, Psorothamnus, spinosus, Fabaceae, tree, Plant, san diego, california, sonoran desert, Lower Colorado River desertscrub, Sonoran Basin and Range","smoke tree","https://www.inaturalist.org/observations/102628916","https://inaturalist-open-data.s3.amazonaws.com/photos/171600077/medium.jpeg","squamatologist",102628916,"smoke tree","Plantae",58453,2,0,"2005/09/03 11:19 AM CDT","2005-09-03","2005-09-03 16:19:00 UTC","Central Time (US & Canada)",250,250,"","open","false","","",5219872,"2021-12-06 22:26:58 UTC","2021-12-08 04:53:06 UTC","research","CC-BY-NC",NA,NA,"false"
"Echinocereus engelmannii engelmannii","2005-09-03 12:17:00 -0500","Engelmann's Hedgehog Cactus (Echinocereus engelmannii), southeastern San Diego County, California","San Diego County, CA, USA",32.84440238,-116.2280860586,"Engelmann's Hedgehog Cactus, Hedgehog Cactus, cactus, Cactaceae, Echinocereus engelmannii, plant, San Diego, California, Sonoran Desert, Lower Colorado River Desertscrub, Sonoran Basin and Range","Engelmann's Hedgehog Cactus","https://www.inaturalist.org/observations/102628915","https://inaturalist-open-data.s3.amazonaws.com/photos/171600070/medium.jpeg","squamatologist",102628915,"Echinocereus engelmannii engelmannii","Plantae",181747,5,0,"2005/09/03 12:17 PM CDT","2005-09-03","2005-09-03 17:17:00 UTC","Central Time (US & Canada)",250,250,"","open","false","","",5219872,"2021-12-06 22:26:58 UTC","2021-12-09 18:53:09 UTC","research","CC-BY-NC",NA,NA,"false"
"Phyllorhynchus decurtatus","2005-09-03 21:40:36 -0500","Western Leaf-nosed Snake (Phyllorhynchus decurtatus perkinsi), southwestern Imperial County, California","Ocotillo, California, United States",32.754653,-116.00893,"Phyllorhynchus, decurtatus, perkinsi, Western Leaf-nosed Snake, Spotted Leaf-nosed Snake, Leaf-nosed Snake, Imperial, Sonoran Desert, California, Colubridae, Culebra, Culebrita, Colubrinae, Lower Colorado River Desertscrub","Western Leaf-nosed Snake","https://www.inaturalist.org/observations/102628229","https://inaturalist-open-data.s3.amazonaws.com/photos/171599384/medium.jpg","squamatologist",102628229,"Western Leaf-nosed Snake","Reptilia",29055,1,0,"2005-09-03 21:40:36","2005-09-03","2005-09-04 02:40:36 UTC","Central Time (US & Canada)",3000,3000,"","open","false","","",5219872,"2021-12-06 22:14:37 UTC","2021-12-06 22:35:50 UTC","research","CC-BY-NC",NA,NA,"false"
"Asclepias subulata","2005-09-03 12:20:35 -0500","Rush Milkweed (Asclepias subulata) growing in a desert wash, southeastern San Diego County, California",", California, United States",32.844242,-116.227905,"Asclepias, subulata, Rush Milkweed, Skeleton Milkweed, Ajamete, San Diego, Sonoran Desert, California, Apocynaceae, Lower Colorado River Valley, Lower Colorado River Desertscrub, flower, plant","rush milkweed","https://www.inaturalist.org/observations/102628226","https://inaturalist-open-data.s3.amazonaws.com/photos/171599379/medium.jpg","squamatologist",102628226,"rush milkweed","Plantae",62291,2,0,"2005-09-03 12:20:35","2005-09-03","2005-09-03 17:20:35 UTC","Central Time (US & Canada)",250,250,"","","false","","",5219872,"2021-12-06 22:14:35 UTC","2021-12-07 16:11:43 UTC","research","CC-BY-NC",NA,NA,"false"
"Chilopsis linearis arcuata","2005-09-03 11:13:25 -0500","Desert Willow (Chilopsis linearis) being visited by a Honey Bee (Apis mellifera), southeastern San Diego County, California",", California, United States",32.844133,-116.226854,"Chilopsis, linearis, Desert Willow, Bow Willow, San Diego, California, Apis, mellifera, Bignoniaceae, Mimbre, Jano, Lower Colorado River Valley, tree, Desert-catalpa, pollination, flower, plant, Hymenoptera, Apidae, Lower Colorado River Desertscrub","desert willow","https://www.inaturalist.org/observations/102628222","https://inaturalist-open-data.s3.amazonaws.com/photos/171599372/medium.jpg","squamatologist",102628222,"desert willow","Plantae",79704,1,0,"2005-09-03 11:13:25","2005-09-03","2005-09-03 16:13:25 UTC","Central Time (US & Canada)",250,250,"","open","false","","",5219872,"2021-12-06 22:14:32 UTC","2021-12-07 17:31:15 UTC","research","CC-BY-NC",NA,NA,"false"
"Ammospermophilus leucurus","2005-09-03 15:12:01 -0500","White-tailed Antelope Squirrel (Ammospermophilus leucurus), southeastern San Diego County, California",", California, United States",32.842962,-116.227326,"Ammospermophilus, leucurus, White-tailed Antelope Squirrel, Antelope Squirrel, Squirrel, Antelope-squirrel, Sciuridae, Rodentia, San Diego, Sonoran Desert, California, mammal, Mammalia, Sonoran Basin and Range, Lower Colorado River Desertscrub","White-tailed Antelope Squirrel","https://www.inaturalist.org/observations/102628218","https://inaturalist-open-data.s3.amazonaws.com/photos/171599367/medium.jpg","squamatologist",102628218,"White-tailed Antelope Squirrel","Mammalia",46255,1,0,"2005-09-03 15:12:01","2005-09-03","2005-09-03 20:12:01 UTC","Central Time (US & Canada)",50,50,"","open","false","","",5219872,"2021-12-06 22:14:29 UTC","2021-12-07 15:03:00 UTC","research","CC-BY-NC",NA,NA,"false"
"Prionyx","2005-09-03 12:21:32 -0500","Thread-waisted Wasp (Prionyx sp.) on Rush Milkweed (Asclepias subulata), southeastern San Diego County, California","Mesquite Oasis, California, United States",32.844413,-116.227583,"Thread-waisted Wasp, Wasp, Sphecidae, Hymenoptera, San Diego, Sonoran Desert, California, Lower Colorado River Valley, Asclepias, subulata, pollination, potentially dangerous, Prionyx, Lower Colorado River Desertscrub, Apocynaceae, Sonoran Basin and Range","","https://www.inaturalist.org/observations/102628215","https://inaturalist-open-data.s3.amazonaws.com/photos/171599356/medium.jpg","squamatologist",102628215,"Prionyx","Insecta",131029,1,0,"2005-09-03 12:21:32","2005-09-03","2005-09-03 17:21:32 UTC","Central Time (US & Canada)",250,250,"","","false","","manual",5219872,"2021-12-06 22:14:26 UTC","2021-12-08 02:25:32 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Passerculus sandwichensis beldingi","2005-09-07 00:00:00 -0800","","Newport Coast, Newport Beach, CA, USA",33.57536211,-117.8360334152,"","Belding's Sparrow","https://www.inaturalist.org/observations/101873038","https://inaturalist-open-data.s3.amazonaws.com/photos/170187690/medium.jpg","graeme45",101873038,"Belding's Sparrow","Aves",144205,0,0,"2005/09/07 ","2005-09-07","","Pacific Time (US & Canada)",594,594,"","","false","","",3354878,"2021-11-25 09:39:38 UTC","2021-11-25 09:39:39 UTC","needs_id","CC-BY-NC",NA,NA,"false"
