"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Toxostoma redivivum","2017-04-05 08:27:00 -0700","","La Jolla, San Diego, CA, USA",32.8757692875,-117.2494894384,"","California Thrasher","https://www.inaturalist.org/observations/109421122","https://inaturalist-open-data.s3.amazonaws.com/photos/184416205/medium.jpeg","walkabata",109421122,"California Thrasher","Aves",14906,1,0,"2017/04/05 8:27 AM PDT","2017-04-05","2017-04-05 15:27:00 UTC","Pacific Time (US & Canada)",8,8,"","open","false","","",4426566,"2022-03-25 01:27:23 UTC","2022-03-25 01:30:44 UTC","research","CC-BY-NC",NA,NA,"false"
"Pelecanus occidentalis californicus","2017-04-05 07:52:00 -0700","","San Diego County, US-CA, US",32.9319227598,-117.3435181463,"","California Brown Pelican","https://www.inaturalist.org/observations/109420144","https://inaturalist-open-data.s3.amazonaws.com/photos/184414000/medium.jpeg","walkabata",109420144,"California Brown Pelican","Aves",123829,1,0,"2017/04/05 7:52 AM PDT","2017-04-05","2017-04-05 14:52:00 UTC","Pacific Time (US & Canada)",31,29039,"","obscured","true","","",4426566,"2022-03-25 01:11:47 UTC","2022-03-25 01:27:05 UTC","research","CC-BY-NC",NA,NA,"false"
"Tursiops truncatus","2017-04-05 07:56:00 -0700","","San Diego County, CA, USA",32.8757431357,-117.2534991164,"","Common Bottlenose Dolphin","https://www.inaturalist.org/observations/109420143","https://inaturalist-open-data.s3.amazonaws.com/photos/184413983/medium.jpeg","walkabata",109420143,"Common Bottlenose Dolphin","Mammalia",41482,1,0,"2017/04/05 7:56 AM PDT","2017-04-05","2017-04-05 14:56:00 UTC","Pacific Time (US & Canada)",31,31,"","","false","","",4426566,"2022-03-25 01:11:46 UTC","2022-03-28 16:39:09 UTC","research","CC-BY-NC",NA,NA,"false"
"Ferocactus viridescens viridescens","2017-04-05 11:30:00 -0700","","Baja California, MX",32.5124354775,-116.612172464,"","Coast Barrel cactus","https://www.inaturalist.org/observations/107011717","https://inaturalist-open-data.s3.amazonaws.com/photos/179895729/medium.jpeg","adrianaalvarez",107011717,"Coast Barrel cactus","Plantae",1054300,5,0,"2017/04/05 11:30 AM PDT","2017-04-05","2017-04-05 18:30:00 UTC","Tijuana",2365,29093,"","obscured","true","","",15781,"2022-02-19 02:41:08 UTC","2022-03-30 09:52:51 UTC","research","CC-BY-NC-ND",NA,NA,"false"
"Plestiodon skiltonianus","2017-04-05 14:52:27 -0600","","San Bernardino National Forest, Pine Cove, CA, US",33.764555,-116.6875533333,"","Western Skink","https://www.inaturalist.org/observations/91324027","https://inaturalist-open-data.s3.amazonaws.com/photos/151037016/medium.jpg","ericksonsmith",91324027,"Western Skink","Reptilia",37769,1,0,"Wed Apr 05 2017 14:52:27 GMT-0600 (MDT)","2017-04-05","2017-04-05 20:52:27 UTC","Mountain Time (US & Canada)",5,5,"","open","false","","",2819263,"2021-08-15 21:05:13 UTC","2021-08-18 18:43:28 UTC","research","CC-BY-NC",NA,3,"false"
"Mentzelia albicaulis","2017-04-05 11:51:00 -0500","","Nye County, NV, USA",36.4335992627,-116.2833542219,"","Whitestem Blazingstar","https://www.inaturalist.org/observations/90963113","https://inaturalist-open-data.s3.amazonaws.com/photos/150394099/medium.jpg","wendybirdsbyrv",90963113,"whitestem blazingstar","Plantae",58195,1,0,"2017/04/05 11:51 AM CDT","2017-04-05","2017-04-05 16:51:00 UTC","Central Time (US & Canada)",70,70,"","","false","","",421102,"2021-08-13 04:06:52 UTC","2021-08-14 01:45:12 UTC","research","CC-BY",NA,NA,"false"
"Rafinesquia neomexicana","2017-04-05 11:58:00 -0500","","Nye County, NV, USA",36.4335992627,-116.2833542219,"","desert chicory","https://www.inaturalist.org/observations/90963111","https://inaturalist-open-data.s3.amazonaws.com/photos/150394058/medium.jpg","wendybirdsbyrv",90963111,"Desert Chicory","Plantae",68553,0,0,"2017/04/05 11:58 AM CDT","2017-04-05","2017-04-05 16:58:00 UTC","Central Time (US & Canada)",70,70,"","","false","","",421102,"2021-08-13 04:06:52 UTC","2021-08-13 04:06:52 UTC","needs_id","CC-BY",NA,NA,"false"
"Plantago ovata","2017-04-05 12:22:00 -0500","With Notch-leaf Scorpion-Weed on left","Nye County, NV, USA",36.4335992627,-116.2833542219,"","desert plantain","https://www.inaturalist.org/observations/90963105","https://inaturalist-open-data.s3.amazonaws.com/photos/150394050/medium.jpg","wendybirdsbyrv",90963105,"Desert Plantain","Plantae",58230,0,0,"2017/04/05 12:22 PM CDT","2017-04-05","2017-04-05 17:22:00 UTC","Central Time (US & Canada)",70,70,"","","false","","",421102,"2021-08-13 04:06:51 UTC","2021-08-13 04:06:51 UTC","needs_id","CC-BY",NA,NA,"false"
"Phacelia crenulata","2017-04-05 12:22:00 -0500","With Desert Plantain on right","Nye County, NV, USA",36.4335992627,-116.2833542219,"","notch-leaf scorpion-weed","https://www.inaturalist.org/observations/90963104","https://inaturalist-open-data.s3.amazonaws.com/photos/150394050/medium.jpg","wendybirdsbyrv",90963104,"notch-leaf scorpion-weed","Plantae",49345,1,0,"2017/04/05 12:22 PM CDT","2017-04-05","2017-04-05 17:22:00 UTC","Central Time (US & Canada)",70,70,"","","false","","",421102,"2021-08-13 04:06:51 UTC","2022-02-08 19:56:44 UTC","research","CC-BY",NA,NA,"false"
"Ephedra torreyana","2017-04-05 11:44:00 -0500","","Nye County, NV, USA",36.4335992627,-116.2833542219,"","Torrey's Jointfir","https://www.inaturalist.org/observations/90963100","https://inaturalist-open-data.s3.amazonaws.com/photos/150394030/medium.jpg","wendybirdsbyrv",90963100,"Torrey's Mormon tea","Plantae",135484,1,0,"2017/04/05 11:44 AM CDT","2017-04-05","2017-04-05 16:44:00 UTC","Central Time (US & Canada)",70,70,"","open","false","","",421102,"2021-08-13 04:06:50 UTC","2021-09-27 13:46:08 UTC","research","CC-BY",NA,NA,"false"
"Psorothamnus arborescens","2017-04-05 12:08:00 -0500","","Nye County, NV, USA",36.4335992627,-116.2833542219,"","Mojave indigo-bush","https://www.inaturalist.org/observations/90963099","https://inaturalist-open-data.s3.amazonaws.com/photos/150394007/medium.jpg","wendybirdsbyrv",90963099,"Mojave Indigo-Bush","Plantae",78772,0,0,"2017/04/05 12:08 PM CDT","2017-04-05","2017-04-05 17:08:00 UTC","Central Time (US & Canada)",70,70,"","","false","","",421102,"2021-08-13 04:06:50 UTC","2021-08-13 04:06:50 UTC","needs_id","CC-BY",NA,NA,"false"
"Xylorhiza tortifolia","2017-04-05 12:11:00 -0500","","Nye County, NV, USA",36.4335992627,-116.2833542219,"","Mojave aster","https://www.inaturalist.org/observations/90963098","https://inaturalist-open-data.s3.amazonaws.com/photos/150393975/medium.jpg","wendybirdsbyrv",90963098,"Mojave aster","Plantae",64715,1,0,"2017/04/05 12:11 PM CDT","2017-04-05","2017-04-05 17:11:00 UTC","Central Time (US & Canada)",70,70,"","","false","","",421102,"2021-08-13 04:06:49 UTC","2021-08-14 01:45:31 UTC","research","CC-BY",NA,NA,"false"
"Ambrosia dumosa","2017-04-05 11:45:00 -0500","","Nye County, NV, USA",36.4251730811,-116.2908416843,"","White Bursage","https://www.inaturalist.org/observations/90935677","https://inaturalist-open-data.s3.amazonaws.com/photos/150340653/medium.jpg","wendybirdsbyrv",90935677,"white bursage","Plantae",75408,1,0,"2017/04/05 11:45 AM CDT","2017-04-05","2017-04-05 16:45:00 UTC","Central Time (US & Canada)",22,22,"","","false","","",421102,"2021-08-12 22:02:34 UTC","2021-08-14 16:51:12 UTC","research","CC-BY",NA,NA,"false"
"Ambrosia dumosa","2017-04-05 12:18:00 -0500","With Beavertail Pricklypear","Nye County, NV, USA",36.4252625273,-116.2914656572,"","White Bursage","https://www.inaturalist.org/observations/90935676","https://inaturalist-open-data.s3.amazonaws.com/photos/150340666/medium.jpg","wendybirdsbyrv",90935676,"white bursage","Plantae",75408,1,0,"2017/04/05 12:18 PM CDT","2017-04-05","2017-04-05 17:18:00 UTC","Central Time (US & Canada)",2,2,"","","false","","",421102,"2021-08-12 22:02:34 UTC","2021-10-22 14:09:08 UTC","research","CC-BY",NA,NA,"false"
"Opuntia basilaris basilaris","2017-04-05 12:06:00 -0500","","Nye County, NV, USA",36.4251322515,-116.2906002855,"","beavertail prickly pear","https://www.inaturalist.org/observations/90935675","https://inaturalist-open-data.s3.amazonaws.com/photos/150340623/medium.jpg","wendybirdsbyrv",90935675,"beavertail prickly pear","Plantae",81156,2,0,"2017/04/05 12:06 PM CDT","2017-04-05","2017-04-05 17:06:00 UTC","Central Time (US & Canada)",33,33,"","open","false","","",421102,"2021-08-12 22:02:33 UTC","2021-10-08 16:19:19 UTC","research","CC-BY",NA,NA,"false"
"Opuntia basilaris","2017-04-05 11:36:00 -0500","","Nye County, NV, USA",36.4251322515,-116.2906002855,"","Beavertail Pricklypear","https://www.inaturalist.org/observations/90935674","https://inaturalist-open-data.s3.amazonaws.com/photos/150340611/medium.jpg","wendybirdsbyrv",90935674,"Opuntia basilaris","Plantae",57872,3,0,"2017/04/05 11:36 AM CDT","2017-04-05","2017-04-05 16:36:00 UTC","Central Time (US & Canada)",33,33,"","open","false","","",421102,"2021-08-12 22:02:32 UTC","2021-10-08 03:02:36 UTC","research","CC-BY",NA,NA,"false"
"Opuntia basilaris","2017-04-05 12:18:00 -0500","","Nye County, NV, USA",36.4252505225,-116.291466192,"","Beavertail Pricklypear","https://www.inaturalist.org/observations/90935673","https://inaturalist-open-data.s3.amazonaws.com/photos/150340567/medium.jpg","wendybirdsbyrv",90935673,"Opuntia basilaris","Plantae",57872,3,0,"2017/04/05 12:18 PM CDT","2017-04-05","2017-04-05 17:18:00 UTC","Central Time (US & Canada)",3,3,"","open","false","","",421102,"2021-08-12 22:02:32 UTC","2021-10-08 03:02:58 UTC","research","CC-BY",NA,NA,"false"
"Homalocephala polycephala polycephala","2017-04-05 11:46:00 -0500","","Nye County, NV, USA",36.4251322515,-116.2906002855,"","Cottontop cactus","https://www.inaturalist.org/observations/90935670","https://inaturalist-open-data.s3.amazonaws.com/photos/150340508/medium.jpg","wendybirdsbyrv",90935670,"Cottontop cactus","Plantae",870917,3,0,"2017/04/05 11:46 AM CDT","2017-04-05","2017-04-05 16:46:00 UTC","Central Time (US & Canada)",33,33,"","open","false","","",421102,"2021-08-12 22:02:31 UTC","2022-02-02 18:38:15 UTC","research","CC-BY",NA,NA,"false"
"Chylismia claviformis","2017-04-05 19:22:00 -0500","","Nye County, NV, USA",36.4436087067,-116.3542235042,"","Browneyes","https://www.inaturalist.org/observations/90818347","https://inaturalist-open-data.s3.amazonaws.com/photos/150128457/medium.jpg","wendybirdsbyrv",90818347,"Browneyes","Plantae",76333,1,0,"2017/04/05 7:22 PM CDT","2017-04-05","2017-04-06 00:22:00 UTC","Central Time (US & Canada)",63,63,"","","false","","",421102,"2021-08-11 20:46:48 UTC","2021-08-11 21:33:41 UTC","research","CC-BY",NA,NA,"false"
"Erythronium californicum","2017-04-05 13:18:00 -0700","","East Fork Willow Creek, CA, USA",40.9070551068,-123.7068661925,"","California Fawn Lily","https://www.inaturalist.org/observations/88226316","https://inaturalist-open-data.s3.amazonaws.com/photos/145544041/medium.jpeg","dr_greg",88226316,"California Fawn Lily","Plantae",59443,0,0,"2017/04/05 1:18 PM PDT","2017-04-05","2017-04-05 20:18:00 UTC","Pacific Time (US & Canada)",110,110,"","","false","","",626605,"2021-07-23 06:43:35 UTC","2021-07-23 06:44:45 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Petasites frigidus","2017-04-05 13:12:00 -0700","","East Fork Willow Creek, CA, USA",40.9046205257,-123.7061554563,"","Arctic Butterbur","https://www.inaturalist.org/observations/88226192","https://inaturalist-open-data.s3.amazonaws.com/photos/145543944/medium.jpeg","dr_greg",88226192,"Arctic Butterbur","Plantae",55780,1,0,"2017/04/05 1:12 PM PDT","2017-04-05","2017-04-05 20:12:00 UTC","Pacific Time (US & Canada)",206,206,"","","false","","",626605,"2021-07-23 06:40:17 UTC","2021-07-27 19:11:05 UTC","research","CC-BY-NC",NA,NA,"false"
