"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Lilium pardalinum vollmeri","2005-11-13 00:06:00 -0800","","United States",41.9506699137,-123.9156121565,"","vollmer's lily","https://www.inaturalist.org/observations/106841813","https://static.inaturalist.org/photos/179573043/medium.jpg","matt_mardigan",106841813,"vollmer's lily","Plantae",79989,1,0,"2005/11/13 12:06 AM PST","2005-11-13","2005-11-13 08:06:00 UTC","Pacific Time (US & Canada)",4,27723,"","obscured","true","","",2944460,"2022-02-16 05:35:03 UTC","2022-02-23 04:51:23 UTC","research","",NA,NA,"false"
"Gymnogyps californianus","2005-11-13 16:03:00 -0800","Tagged juveniles flying and perching in the National Park.","San Benito County, US-CA, US",36.5377827751,-121.0931757319,"Condor, California","California Condor","https://www.inaturalist.org/observations/106445615","https://inaturalist-open-data.s3.amazonaws.com/photos/178813734/medium.jpg","orobourical",106445615,"California Condor","Aves",4778,3,0,"2005/11/13 4:03 PM PST","2005-11-13","2005-11-14 00:03:00 UTC","Pacific Time (US & Canada)",500,28534,"","obscured","true","","",3304942,"2022-02-09 18:00:51 UTC","2022-02-26 17:33:09 UTC","research","CC-BY-NC",NA,NA,"false"
"Spinus psaltria","2005-11-12 07:10:00 -0800","","Thousand Oaks, CA, USA",34.2197514258,-118.9035272598,"","Lesser Goldfinch","https://www.inaturalist.org/observations/106108745","https://inaturalist-open-data.s3.amazonaws.com/photos/178187175/medium.jpeg","tinatan",106108745,"Lesser Goldfinch","Aves",145308,2,0,"2005/11/12 7:10 AM PST","2005-11-12","2005-11-12 15:10:00 UTC","Pacific Time (US & Canada)",31,31,"","open","false","","",4606623,"2022-02-04 06:00:21 UTC","2022-02-05 19:06:54 UTC","research","CC-BY-NC",NA,NA,"false"
"Larus occidentalis","2005-11-21 11:31:00 -0800","","Financial District, San Francisco, CA, USA",37.7953567374,-122.4041909682,"","Western Gull","https://www.inaturalist.org/observations/105723383","https://inaturalist-open-data.s3.amazonaws.com/photos/177453207/medium.jpg","littletiff99",105723383,"Western Gull","Aves",4345,1,0,"2005/11/21 11:31 AM PST","2005-11-21","2005-11-21 19:31:00 UTC","Pacific Time (US & Canada)",7493,7493,"","open","false","","",31507,"2022-01-28 17:35:51 UTC","2022-02-02 03:45:06 UTC","research","CC-BY-NC",NA,NA,"false"
"Canis latrans","2005-11-20 10:08:00 -0600","Coyote (Canis latrans), southeastern San Diego County, California","San Diego County, CA, USA",32.7688672819,-116.1242670396,"Coyote, Canis, latrans, mammal, Canidae, Carnivora, San Diego, California, Sonoran Desert, Lower Colorado River Desertscrub, Sonoran Basin and Range","Coyote","https://www.inaturalist.org/observations/102644884","https://inaturalist-open-data.s3.amazonaws.com/photos/171629748/medium.jpeg","squamatologist",102644884,"Coyote","Mammalia",42051,1,0,"2005/11/20 10:08 AM CST","2005-11-20","2005-11-20 16:08:00 UTC","Central Time (US & Canada)",2500,2500,"","open","false","","",5219872,"2021-12-07 04:38:43 UTC","2021-12-07 04:42:59 UTC","research","CC-BY-NC",NA,NA,"false"
"Cylindropuntia bigelovii","2005-11-19 14:48:00 -0600","Teddy-bear Cholla (Cylindropuntia bigelovii; center), southeastern San Diego County, California","San Diego County, CA, USA",32.8433952567,-116.2255942142,"Teddy-bear Cholla, Cholla, Cylindropuntia, bigelovii, cactus, Cactaceae, plant, shrub, San Diego, California, Sonoran Desert, Lower Colorado River Desertscrub, Sonoran Basin and Range","teddy-bear cholla","https://www.inaturalist.org/observations/102644882","https://inaturalist-open-data.s3.amazonaws.com/photos/171629743/medium.jpeg","squamatologist",102644882,"teddy-bear cholla","Plantae",49351,3,0,"2005/11/19 2:48 PM CST","2005-11-19","2005-11-19 20:48:00 UTC","Central Time (US & Canada)",250,250,"","open","false","","",5219872,"2021-12-07 04:38:42 UTC","2021-12-26 19:41:06 UTC","research","CC-BY-NC",NA,NA,"false"
"Fouquieria splendens","2005-11-19 14:48:00 -0600","Ocotillo (Fouquieria splendens; left of center), southeastern San Diego County, California","San Diego County, CA, USA",32.8433952567,-116.2255942142,"Ocotillo, Fouquieria, splendens, Fouquieriaceae, plant, shrub, San Diego, California, Sonoran Desert, Lower Colorado River Desertscrub, Sonoran Basin and Range","ocotillo","https://www.inaturalist.org/observations/102644881","https://inaturalist-open-data.s3.amazonaws.com/photos/171629743/medium.jpeg","squamatologist",102644881,"ocotillo","Plantae",49325,3,0,"2005/11/19 2:48 PM CST","2005-11-19","2005-11-19 20:48:00 UTC","Central Time (US & Canada)",250,250,"","open","false","","",5219872,"2021-12-07 04:38:42 UTC","2022-02-18 06:07:42 UTC","research","CC-BY-NC",NA,NA,"false"
"Uta stansburiana elegans","2005-11-19 14:08:00 -0600","Western Side-blotched Lizard (Uta stansburiana elegans), southeastern San Diego County, California","San Diego County, CA, USA",32.841254984,-116.2267344253,"Western Side-blotched Lizard, Side-blotched Lizard, lizard, Uta, stansburiana, elegans, Phrynosomatidae, San Diego, California, Sonoran Desert, Lower Colorado River Desertscrub, Sonoran Basin and Range","Western Side-blotched Lizard","https://www.inaturalist.org/observations/102644880","https://inaturalist-open-data.s3.amazonaws.com/photos/171629741/medium.jpeg","squamatologist",102644880,"Western Side-blotched Lizard","Reptilia",36100,1,0,"2005/11/19 2:08 PM CST","2005-11-19","2005-11-19 20:08:00 UTC","Central Time (US & Canada)",100,100,"","open","false","","",5219872,"2021-12-07 04:38:42 UTC","2021-12-07 04:43:01 UTC","research","CC-BY-NC",NA,NA,"false"
"Phrynosoma platyrhinos","2005-11-19 14:12:11 -0600","Juvenile Southern Desert Horned Lizard (Phrynosoma platyrhinos calidiarum) discovered active in the evening, southeastern San Diego County, California",", California, United States",32.842177,-116.226661,"Phrynosoma, platyrhinos, calidiarum, Desert Horned Lizard, Sonoran Desert, San Diego, California, Phrynosomatidae, Camaleon, Lower Colorado River Desertscrub, camouflage, Lagarto Cornudo, Lagarto, juvenile, Southern Desert Horned Lizard, Horned Lizard, lizard","Desert Horned Lizard","https://www.inaturalist.org/observations/102644289","https://inaturalist-open-data.s3.amazonaws.com/photos/171629617/medium.jpg","squamatologist",102644289,"Desert Horned Lizard","Reptilia",243904,2,0,"2005-11-19 14:12:11","2005-11-19","2005-11-19 20:12:11 UTC","Central Time (US & Canada)",75,75,"","open","false","","manual",5219872,"2021-12-07 04:23:38 UTC","2022-02-10 07:18:19 UTC","research","CC-BY-NC",NA,NA,"false"
"Proboscidea althaeifolia","2005-11-19 13:41:44 -0600","Desert Unicorn Plant (Proboscidea althaeifolia), southeastern San Diego County, California","California, US",32.9071917667,-116.2156072508,"Proboscidea, althaeifolia, Devil's Claw, San Diego, Sonoran Desert, California, Martyniaceae, Unicorn Plant, Plant, Aguaro, Cuernero, Lower Colorado River Desertscrub, flower, San Diego County Rare Plant, Desert Unicorn Plant","desert unicorn-plant","https://www.inaturalist.org/observations/102644287","https://inaturalist-open-data.s3.amazonaws.com/photos/171629614/medium.jpg","squamatologist",102644287,"desert unicorn-plant","Plantae",78746,1,0,"2005-11-19 13:41:44","2005-11-19","2005-11-19 19:41:44 UTC","Central Time (US & Canada)",100,29039,"","obscured","true","","manual",5219872,"2021-12-07 04:23:35 UTC","2021-12-07 22:37:00 UTC","research","CC-BY-NC",NA,NA,"false"
