"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Phasianus colchicus","2007-11-24 17:53:00 -0500","","Sacramento NWR, Willows, CA 95988, USA",39.4083737,-122.1663384,"","Ring-necked Pheasant","https://www.inaturalist.org/observations/105319818","https://inaturalist-open-data.s3.amazonaws.com/photos/176687383/medium.jpeg","jakemccumber",105319818,"Ring-necked Pheasant","Aves",981,3,0,"2007/11/24 5:53 PM EST","2007-11-24","2007-11-24 22:53:00 UTC","Eastern Time (US & Canada)",5003,5003,"","open","false",NA,"",2106581,"2022-01-21 17:45:25 UTC","2022-03-01 19:44:18 UTC","research","CC-BY-SA",NA,NA,"false"
"Falco peregrinus","2007-11-24 17:21:00 -0500","","Sacramento NWR, Glenn County, CA, USA",39.4261759301,-122.1677929149,"","Peregrine Falcon","https://www.inaturalist.org/observations/105319817","https://inaturalist-open-data.s3.amazonaws.com/photos/176687337/medium.jpeg","jakemccumber",105319817,"Peregrine Falcon","Aves",4647,2,0,"2007/11/24 5:21 PM EST","2007-11-24","2007-11-24 22:21:00 UTC","Eastern Time (US & Canada)",5447,5447,"","","false",NA,"",2106581,"2022-01-21 17:45:24 UTC","2022-04-04 13:37:06 UTC","research","CC-BY-SA",NA,NA,"false"
"Otospermophilus beecheyi","2007-11-24 17:00:00 -0500","","Sacramento NWR, Glenn County, CA, USA",39.4220499935,-122.1629837141,"","California Ground Squirrel","https://www.inaturalist.org/observations/105319816","https://inaturalist-open-data.s3.amazonaws.com/photos/176687307/medium.jpeg","jakemccumber",105319816,"California Ground Squirrel","Mammalia",180007,1,0,"2007/11/24 5:00 PM EST","2007-11-24","2007-11-24 22:00:00 UTC","Eastern Time (US & Canada)",5064,5064,"","open","false",NA,"",2106581,"2022-01-21 17:45:24 UTC","2022-01-21 17:46:07 UTC","research","CC-BY-SA",NA,NA,"false"
"Anas acuta","2007-11-24 13:56:00 -0500","","Sacramento NWR, Glenn County, CA, USA",39.4300059334,-122.1621242345,"","Northern Pintail","https://www.inaturalist.org/observations/105319815","https://inaturalist-open-data.s3.amazonaws.com/photos/176687282/medium.jpeg","jakemccumber",105319815,"Northern Pintail","Aves",6933,1,0,"2007/11/24 1:56 PM EST","2007-11-24","2007-11-24 18:56:00 UTC","Eastern Time (US & Canada)",4620,4620,"","open","false",NA,"",2106581,"2022-01-21 17:45:24 UTC","2022-01-21 17:46:13 UTC","research","CC-BY-SA",NA,NA,"false"
"Anser caerulescens","2007-11-24 13:56:00 -0500","","Sacramento NWR, Glenn County, CA, USA",39.4236412541,-122.1659007848,"","Snow Goose","https://www.inaturalist.org/observations/105319813","https://inaturalist-open-data.s3.amazonaws.com/photos/176687237/medium.jpeg","jakemccumber",105319813,"Snow Goose","Aves",558426,1,0,"2007/11/24 1:56 PM EST","2007-11-24","2007-11-24 18:56:00 UTC","Eastern Time (US & Canada)",4503,4503,"","open","false",NA,"",2106581,"2022-01-21 17:45:23 UTC","2022-01-21 17:46:20 UTC","research","CC-BY-SA",NA,NA,"false"
"Anser albifrons","2007-11-24 14:07:00 -0500","","Sacramento NWR, Glenn County, CA, USA",39.4225804177,-122.16281088,"","Greater White-fronted Goose","https://www.inaturalist.org/observations/105319812","https://inaturalist-open-data.s3.amazonaws.com/photos/176687200/medium.jpeg","jakemccumber",105319812,"Greater White-fronted Goose","Aves",7019,1,0,"2007/11/24 2:07 PM EST","2007-11-24","2007-11-24 19:07:00 UTC","Eastern Time (US & Canada)",4473,4473,"","","false",NA,"",2106581,"2022-01-21 17:45:23 UTC","2022-01-21 17:46:27 UTC","research","CC-BY-SA",NA,NA,"false"
"Buteo jamaicensis","2007-11-24 13:13:00 -0500","","Sacramento NWR, Glenn County, CA, USA",39.4260280769,-122.1789470495,"","Red-tailed Hawk","https://www.inaturalist.org/observations/105319811","https://inaturalist-open-data.s3.amazonaws.com/photos/176687136/medium.jpeg","jakemccumber",105319811,"Red-tailed Hawk","Aves",5212,1,0,"2007/11/24 1:13 PM EST","2007-11-24","2007-11-24 18:13:00 UTC","Eastern Time (US & Canada)",4945,4945,"","open","false",NA,"",2106581,"2022-01-21 17:45:23 UTC","2022-01-21 17:46:35 UTC","research","CC-BY-SA",NA,NA,"false"
"Aphonopelma","2007-11-02 11:18:00 -0700","","Santa Margarita, CA",35.3949204375,-120.5976241264,"","","https://www.inaturalist.org/observations/104772675","https://inaturalist-open-data.s3.amazonaws.com/photos/175634455/medium.jpeg","bjgingg",104772675,"Aphonopelma","Arachnida",47423,0,0,"2007/11/02 11:18 AM PDT","2007-11-02","2007-11-02 18:18:00 UTC","Pacific Time (US & Canada)",276,276,"","","false",NA,"",263720,"2022-01-11 19:12:17 UTC","2022-01-11 21:04:00 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Blepsias cirrhosus","2007-11-04 16:09:00 -0800","","Trinidad, CA 95570, USA",41.0557727669,-124.1477939814,"","Silverspotted Sculpin","https://www.inaturalist.org/observations/104157985","https://inaturalist-open-data.s3.amazonaws.com/photos/174499691/medium.jpg","smog",104157985,"Silverspotted Sculpin","Actinopterygii",154701,2,0,"2007/11/04 4:09 PM PST","2007-11-04","2007-11-05 00:09:00 UTC","Pacific Time (US & Canada)",287,287,"","","false",NA,"",29792,"2022-01-02 04:10:26 UTC","2022-02-03 01:13:30 UTC","research","CC-BY-NC",NA,NA,"false"
"Dendronotus subramosus","2007-11-24 16:25:00 -0800","From past files .","Pillar Point , California",37.495889,-122.498025,"","Stubby-frond Dendronotus","https://www.inaturalist.org/observations/103860283","https://inaturalist-open-data.s3.amazonaws.com/photos/173934496/medium.jpeg","kevinhintsa",103860283,"Stubby-frond Dendronotus","Mollusca",47771,2,0,"2007/11/24 4:25 PM PST","2007-11-24","2007-11-25 00:25:00 UTC","Pacific Time (US & Canada)",841,841,"","","false",NA,"",38530,"2021-12-29 02:01:08 UTC","2021-12-30 04:27:02 UTC","research","CC-BY-NC",NA,NA,"false"
