"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Sylvilagus audubonii","2011-08-29 14:39:10 -0700","","Elkcreek Trail, Reno, NV, US",39.4835763966,-119.8596677985,"","Desert Cottontail","https://www.inaturalist.org/observations/116522845","https://inaturalist-open-data.s3.amazonaws.com/photos/196701671/medium.jpg","abbylane",116522845,"","Mammalia",43115,0,0,"2011-08-29 14:39:10-07:00","2011-08-29","2011-08-29 21:39:10 UTC","Pacific Time (US & Canada)",7,7,"","open","false",NA,NA,4879847,"2022-05-11 05:33:56 UTC","2022-05-11 05:34:01 UTC","needs_id","CC-BY-NC",NA,3,"false"
"Anas platyrhynchos","2011-08-19 13:12:23 -0700","","Davis Creek Regional Park, Washoe Valley, NV, US",39.3025411819,-119.8332065611,"","Mallard","https://www.inaturalist.org/observations/116520320","https://inaturalist-open-data.s3.amazonaws.com/photos/196697365/medium.jpg","abbylane",116520320,"Mallard","Aves",6930,2,0,"2011-08-19 13:12:23-07:00","2011-08-19","2011-08-19 20:12:23 UTC","Pacific Time (US & Canada)",18,18,"","open","false",NA,NA,4879847,"2022-05-11 04:46:54 UTC","2022-05-16 00:24:30 UTC","research","CC-BY-NC",NA,3,"false"
"Sceptridium multifidum","2011-08-31 00:00:00 -0800","Benwood Meadow, Echo Summit, Eldorado County, CA","El Dorado County, CA, USA",38.80463,-120.02868,"","leathery grapefern","https://www.inaturalist.org/observations/116157344","https://inaturalist-open-data.s3.amazonaws.com/photos/196046119/medium.jpg","cheryl3",116157344,"leathery grapefern","Plantae",78990,1,0,"2011-08-31","2011-08-31","","Pacific Time (US & Canada)",20,20,"","","false",NA,NA,72666,"2022-05-08 20:02:18 UTC","2022-05-08 22:49:39 UTC","research","CC-BY-NC",NA,NA,"false"
"Argiope aurantia","2011-08-14 12:08:54 -0700","","Majorca Pl, Los Angeles, CA, US",34.0753833,-118.48102545,"","Yellow Garden Spider","https://www.inaturalist.org/observations/114526211","https://inaturalist-open-data.s3.amazonaws.com/photos/193391673/medium.jpg","siddharthvader35",114526211,"Yellow Garden Spider","Arachnida",67707,1,0,"2011-08-14 12:08:54-07:00","2011-08-14","2011-08-14 19:08:54 UTC","Pacific Time (US & Canada)",25,25,"","","false",NA,NA,5005907,"2022-05-02 02:39:43 UTC","2022-05-02 02:43:18 UTC","research","CC-BY-NC",NA,3,"false"
"Marmota flaviventris","2011-08-03 15:24:24 -0700","","Yosemite National Park, Groveland, CA, US",37.8726419679,-119.3700216952,"","Yellow-bellied Marmot","https://www.inaturalist.org/observations/113186396","https://inaturalist-open-data.s3.amazonaws.com/photos/191246722/medium.jpg","chilipossum",113186396,"Yellow-bellied Marmot","Mammalia",46086,2,0,"2011-08-03 15:24:24-07:00","2011-08-03","2011-08-03 22:24:24 UTC","Pacific Time (US & Canada)",121,121,"","open","false",NA,NA,861881,"2022-04-28 05:45:27 UTC","2022-05-02 01:20:24 UTC","research","CC-BY",NA,3,"false"
"Senecio triangularis","2011-08-04 18:54:00 -0700","","Mammoth Lakes, CA 93546, USA",37.6059554573,-119.0067109618,"","Arrowleaf Senecio","https://www.inaturalist.org/observations/113184892","https://inaturalist-open-data.s3.amazonaws.com/photos/191243052/medium.jpeg","chilipossum",113184892,"Arrowleaf Senecio","Plantae",79055,0,0,"2011/08/04 6:54 PM","2011-08-04","2011-08-05 01:54:00 UTC","Pacific Time (US & Canada)",31,31,"","","false",NA,NA,861881,"2022-04-28 05:11:28 UTC","2022-04-28 05:11:28 UTC","needs_id","CC-BY",NA,NA,"false"
"Cassiope mertensiana","2011-08-04 18:25:00 -0700","","Mammoth Lakes, CA 93546, USA",37.6005005096,-119.0028215808,"","western moss-heather","https://www.inaturalist.org/observations/113184891","https://inaturalist-open-data.s3.amazonaws.com/photos/191243030/medium.jpeg","chilipossum",113184891,"western moss-heather","Plantae",60530,1,0,"2011/08/04 6:25 PM","2011-08-04","2011-08-05 01:25:00 UTC","Pacific Time (US & Canada)",244,244,"","","false",NA,NA,861881,"2022-04-28 05:11:28 UTC","2022-05-11 22:02:15 UTC","research","CC-BY",NA,NA,"false"
"Eriogonum incanum","2011-08-04 18:22:00 -0700","","Mammoth Lakes, CA 93546, USA",37.6057905944,-119.0061203084,"","Frosted Buckwheat","https://www.inaturalist.org/observations/113184890","https://inaturalist-open-data.s3.amazonaws.com/photos/191243024/medium.jpeg","chilipossum",113184890,"Frosted Buckwheat","Plantae",62680,0,0,"2011/08/04 6:22 PM","2011-08-04","2011-08-05 01:22:00 UTC","Pacific Time (US & Canada)",31,31,"","","false",NA,NA,861881,"2022-04-28 05:11:27 UTC","2022-04-28 05:11:27 UTC","needs_id","CC-BY",NA,NA,"false"
"Phalacrocorax","2011-08-04 15:27:00 -0400","With the seals.","Jenner, CA 95450, USA",38.4510984011,-123.1281560368,"","Typical Cormorants and Shags","https://www.inaturalist.org/observations/110470724","https://inaturalist-open-data.s3.amazonaws.com/photos/186360731/medium.jpeg","richardlitt",110470724,"Typical Cormorants and Shags","Aves",4263,1,0,"2011/08/04 3:27 PM EDT","2011-08-04","2011-08-04 19:27:00 UTC","Eastern Time (US & Canada)",839,839,"","","false",NA,NA,1513074,"2022-04-05 08:11:58 UTC","2022-04-06 05:02:26 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Phoca vitulina richardii","2011-08-04 15:27:00 -0400","","Jenner, CA 95450, USA",38.4510984011,-123.1281560368,"","Pacific Harbor Seal","https://www.inaturalist.org/observations/110470456","https://inaturalist-open-data.s3.amazonaws.com/photos/186360731/medium.jpeg","richardlitt",110470456,"Pacific Harbor Seal","Mammalia",117766,4,0,"2011/08/04 3:27 PM EDT","2011-08-04","2011-08-04 19:27:00 UTC","Eastern Time (US & Canada)",839,839,"","open","false",NA,NA,1513074,"2022-04-05 08:04:24 UTC","2022-04-06 08:27:39 UTC","research","CC-BY-NC",NA,NA,"false"
