"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Anaxyrus boreas","2018-03-12 10:15:57 -0700","","Santa Barbara County, CA, USA",34.5441305556,-119.7991222222,"","Western Toad","https://www.inaturalist.org/observations/110227212","https://static.inaturalist.org/photos/185909179/medium.jpeg","elliotlowndes",110227212,"Western Toad","Amphibia",64970,1,0,"2018-03-12 10:15:57","2018-03-12","2018-03-12 17:15:57 UTC","Pacific Time (US & Canada)",NA,NA,"","","false","gps","gps",2755222,"2022-04-02 22:57:14 UTC","2022-04-03 16:45:02 UTC","research","",NA,2,"false"
"Giraffa","2018-03-12 10:24:21 -0600","","Balboa Park, San Diego, CA, US",32.73697,-117.1503361667,"","","https://www.inaturalist.org/observations/102418375","https://inaturalist-open-data.s3.amazonaws.com/photos/171199144/medium.jpg","chasedah",102418375,"","Mammalia",42156,0,0,"Mon Mar 12 2018 10:24:21 GMT-0700 (MST)","2018-03-12","2018-03-12 16:24:21 UTC","Mountain Time (US & Canada)",10,10,"","","false","","",5246519,"2021-12-03 18:14:09 UTC","2021-12-03 18:14:24 UTC","casual","CC-BY-NC",NA,3,"true"
"Eschscholzia californica","2018-03-12 00:00:00 -0500","","Santa Clara County, CA, USA",37.099733826,-121.5650256634,"California, Flowers, Harvey Ranch","California poppy","https://www.inaturalist.org/observations/101786488","https://inaturalist-open-data.s3.amazonaws.com/photos/170026990/medium.jpeg","smaturin",101786488,"California poppy","Plantae",48225,2,0,"2018/03/12","2018-03-12","","Eastern Time (US & Canada)",61,61,"","","false","","",716226,"2021-11-23 22:14:12 UTC","2021-11-24 04:15:15 UTC","research","CC-BY-NC-SA",NA,NA,"false"
"Vicia villosa","2018-03-12 00:00:00 -0500","","Coyote Lake-Harvey Bear Ranch County Park, Santa Clara County, US-CA, US",37.1009571786,-121.568252192,"California, Flowers, Harvey Ranch","hairy vetch","https://www.inaturalist.org/observations/101786487","https://inaturalist-open-data.s3.amazonaws.com/photos/170026946/medium.jpeg","smaturin",101786487,"hairy vetch","Plantae",57317,2,0,"2018/03/12","2018-03-12","","Eastern Time (US & Canada)",122,122,"","","false","","",716226,"2021-11-23 22:14:11 UTC","2022-02-06 15:25:06 UTC","research","CC-BY-NC-SA",NA,NA,"false"
"Agelaius phoeniceus","2018-03-12 00:00:00 -0500","","Santa Clara County, CA, USA",37.0991092599,-121.5751855231,"California, Red-winged Blackbird, Harvey Ranch","Red-winged Blackbird","https://www.inaturalist.org/observations/101786486","https://inaturalist-open-data.s3.amazonaws.com/photos/170026863/medium.jpeg","smaturin",101786486,"Red-winged Blackbird","Aves",9744,2,0,"2018/03/12","2018-03-12","","Eastern Time (US & Canada)",61,61,"","open","false","","",716226,"2021-11-23 22:14:10 UTC","2021-11-23 23:41:57 UTC","research","CC-BY-NC-SA",NA,NA,"false"
"Sturnella neglecta","2018-03-12 00:00:00 -0500","","Santa Clara County, CA, USA",37.1003406495,-121.5659250064,"California, Western Meadowlark, Harvey Ranch","Western Meadowlark","https://www.inaturalist.org/observations/101786485","https://inaturalist-open-data.s3.amazonaws.com/photos/170026583/medium.jpeg","smaturin",101786485,"Western Meadowlark","Aves",9535,1,0,"2018/03/12","2018-03-12","","Eastern Time (US & Canada)",61,61,"","open","false","","",716226,"2021-11-23 22:14:10 UTC","2021-11-24 04:03:49 UTC","research","CC-BY-NC-SA",NA,NA,"false"
"Eriogonum inflatum","2018-03-12 14:49:00 -0400","","Inyo County, CA, USA",36.7241194483,-116.9779939145,"","Desert Trumpet","https://www.inaturalist.org/observations/101141381","https://inaturalist-open-data.s3.amazonaws.com/photos/168863038/medium.jpg","wendybirdsbyrv",101141381,"desert trumpet","Plantae",59459,1,0,"2018/03/12 2:49 PM PST","2018-03-12","2018-03-12 18:49:00 UTC","Eastern Time (US & Canada)",30,30,"","","false","","",421102,"2021-11-14 21:45:29 UTC","2021-11-16 01:31:38 UTC","research","CC-BY",NA,NA,"false"
"Tringa incana","2018-03-12 12:36:00 -0700","","Pillar Point Harbor, San Mateo County, CA, USA",37.4988508744,-122.4857083717,"","Wandering Tattler","https://www.inaturalist.org/observations/87427938","https://inaturalist-open-data.s3.amazonaws.com/photos/144140314/medium.jpg","charadrius",87427938,"Wandering Tattler","Aves",144490,2,0,"2018/03/12 12:36 PM PDT","2018-03-12","2018-03-12 19:36:00 UTC","Pacific Time (US & Canada)",1524,1524,"","open","false","","",1809129,"2021-07-17 17:38:38 UTC","2021-07-17 18:42:46 UTC","research","CC-BY-NC",NA,NA,"false"
"Bombus sonorus","2018-03-12 00:00:00 -0800","","California, US",33.952533533,-117.8161519543,"","Sonoran Bumble Bee","https://www.inaturalist.org/observations/83653859","https://inaturalist-open-data.s3.amazonaws.com/photos/137407758/medium.jpg","arboretum_amy",83653859,"Sonoran Bumble Bee","Insecta",57690,2,0,"2018/03/12","2018-03-12","","Pacific Time (US & Canada)",306,28902,"obscured","","true","","",1686028,"2021-06-19 16:19:33 UTC","2021-07-01 01:09:08 UTC","research","CC-BY-NC",NA,NA,"false"
"Cornu aspersum","2018-03-12 00:00:00 +0000","I took two pictures of these snails in California, back in 2018","Reedley, CA 93654, USA",36.635251777,-119.4179323688,"","Garden Snail","https://www.inaturalist.org/observations/82954479","https://static.inaturalist.org/photos/136198113/medium.jpeg","santiago_mancilla",82954479,"Garden Snail","Mollusca",480298,1,0,"2018-03-12","2018-03-12","","UTC",778991,778991,"","","false","","",4317786,"2021-06-14 03:36:26 UTC","2021-06-15 04:02:09 UTC","research","",NA,2,"false"
