"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Zalophus californianus","2010-12-21 18:47:00 UTC","","South Redondo, Redondo Beach, CA 90277, USA",33.8432085812,-118.3973570292,"","California Sea Lion","https://www.inaturalist.org/observations/111435633","https://static.inaturalist.org/photos/188114101/medium.jpeg","kevintwhite",111435633,"California Sea Lion","Mammalia",41740,1,0,"2010/12/21 6:47 PM UTC","2010-12-21","2010-12-21 18:47:00 UTC","UTC",118,118,"","open","false","","",1228922,"2022-04-14 18:00:15 UTC","2022-04-14 19:52:06 UTC","research","",NA,NA,"false"
"Ardea herodias","2010-12-21 10:47:00 -0800","","South Redondo, Redondo Beach, CA 90277, USA",33.8388732799,-118.3921106284,"","Great Blue Heron","https://www.inaturalist.org/observations/111435632","https://static.inaturalist.org/photos/188114070/medium.jpeg","kevintwhite",111435632,"Great Blue Heron","Aves",4956,3,0,"2010/12/21 10:47 AM PST","2010-12-21","2010-12-21 18:47:00 UTC","Pacific Time (US & Canada)",15,15,"","open","false","","",1228922,"2022-04-14 18:00:15 UTC","2022-04-14 21:38:20 UTC","research","",NA,NA,"false"
"Phalacrocorax auritus","2010-12-21 18:47:00 UTC","","Los Angeles County, CA, USA",33.8295537126,-118.3910216556,"","Double-crested Cormorant","https://www.inaturalist.org/observations/111435631","https://static.inaturalist.org/photos/188114038/medium.jpeg","kevintwhite",111435631,"Double-crested Cormorant","Aves",4265,1,0,"2010/12/21 6:47 PM UTC","2010-12-21","2010-12-21 18:47:00 UTC","UTC",44,44,"","","false","","",1228922,"2022-04-14 18:00:14 UTC","2022-04-14 18:04:58 UTC","research","",NA,NA,"false"
"Pelecanus occidentalis","2010-12-21 18:47:00 UTC","","South Redondo, Redondo Beach, CA 90277, USA",33.8412108759,-118.3913455329,"","Brown Pelican","https://www.inaturalist.org/observations/111435630","https://static.inaturalist.org/photos/188114001/medium.jpeg","kevintwhite",111435630,"Brown Pelican","Aves",4328,3,0,"2010/12/21 6:47 PM UTC","2010-12-21","2010-12-21 18:47:00 UTC","UTC",31,31,"","open","false","","",1228922,"2022-04-14 18:00:14 UTC","2022-04-15 02:30:02 UTC","research","",NA,NA,"false"
"Microcentrum rhombifolium","2010-12-10 15:59:35 -0800","","Livermore, CA, USA",37.6789435515,-121.7231649533,"","Greater Anglewing","https://www.inaturalist.org/observations/109795194","https://inaturalist-open-data.s3.amazonaws.com/photos/185115370/medium.jpeg","gringo_vulgaris",109795194,"Greater Anglewing","Insecta",84752,1,0,"2010-12-10 15:59:35","2010-12-10","2010-12-10 23:59:35 UTC","Tijuana",22,22,"","","false","gps","gps",5281122,"2022-03-29 00:04:29 UTC","2022-03-29 02:15:58 UTC","research","CC-BY-NC",NA,2,"false"
"Formicidae","2010-12-01 00:00:00 -0800","I thought these were Pyramid Ant - Dorymyrmex - nests.","Los Vaqueros Reservoir",37.817753,-121.756213,"","Ants","https://www.inaturalist.org/observations/105691612","https://inaturalist-open-data.s3.amazonaws.com/photos/177390438/medium.jpg","ameet",105691612,"Ants","Insecta",47336,2,0,"2010-12-01 00:00:00","2010-12-01","2010-12-01 08:00:00 UTC","Pacific Time (US & Canada)",186,186,"","","false","","manual",10129,"2022-01-28 01:18:46 UTC","2022-01-28 03:30:24 UTC","needs_id","CC-BY-NC-SA",NA,NA,"false"
"Charadrius nivosus","2010-12-10 16:55:00 -0800","","California, US",37.6757445441,-122.4087420308,"Volumes, Seagate 1-A 1, Paul's digital images, Paul's bird photos, 18-CHARADRIIFORMES, Charadriidae, Charadrius (=alexandrinus) nivosus, 2010-12-10, Linda Mar Beach, Pacifica, CA","Snowy Plover","https://www.inaturalist.org/observations/105299683","https://inaturalist-open-data.s3.amazonaws.com/photos/176648860/medium.jpg","charadrius",105299683,"Snowy Plover","Aves",144485,2,0,"2010/12/10 4:55 PM PST","2010-12-10","2010-12-11 00:55:00 UTC","Pacific Time (US & Canada)",656,28359,"","obscured","true","","",1809129,"2022-01-21 05:26:17 UTC","2022-01-21 16:57:28 UTC","research","CC-BY-NC",NA,NA,"false"
"Homalocephala polycephala polycephala","2010-12-17 12:47:00 -0800","Mike Crouse discovered this plant right next to the Villager Peak Trail, which I had either not-noticed, or mistaken as a Ferocactus, on two previous trips!  This plant had bloomed earlier this year.

It was a perfect Echinocactus:

 - it has woolly fruit, near the tip of the barrel, and not the glabrous fruit, in a ring somewhat below the tip, of Ferocactus;

 - the number of ribs are 16, 18, and 19, not the 21 to 29 for Ferocactus;

 - the areoles have all stout spines, with the bristle-like non-rubst lower spines for Ferocactus.

As far as I know, this is the westernmost location for this species in the Borrego Valley area.
Alas, eight years later at least two of the ~7 barrels were dead:

https://www.inaturalist.org/observations/105133955

And three years after that, 11 years after this first observation, it was complete dead or close to it.  See:

https://www.inaturalist.org/observations/105074528","San Diego County, CA, USA",33.31531,-116.19739,"","Cottontop cactus","https://www.inaturalist.org/observations/105120734","https://inaturalist-open-data.s3.amazonaws.com/photos/176303234/medium.jpg","tchester",105120734,"Homalocephala polycephala polycephala","Plantae",870917,5,0,"2010/12/17 12:47 PM PST","2010-12-17","2010-12-17 20:47:00 UTC","Pacific Time (US & Canada)",5,5,"","open","false","","",173818,"2022-01-17 22:12:07 UTC","2022-02-01 23:42:16 UTC","research","CC-BY-NC",NA,NA,"false"
"Bubo virginianus","2010-12-31 09:04:03 UTC","","S Buena Vista St, Redlands, CA, US",34.053003965,-117.1884279276,"","Great Horned Owl","https://www.inaturalist.org/observations/104413424","https://inaturalist-open-data.s3.amazonaws.com/photos/174950414/medium.jpg","sauza",104413424,"Great Horned Owl","Aves",20044,2,0,"Fri Dec 31 2010 09:04:03 GMT-0800 (PST)","2010-12-31","2010-12-31 09:04:03 UTC","UTC",121,121,"","open","false","","",1526032,"2022-01-05 16:52:08 UTC","2022-01-05 19:57:44 UTC","research","CC-BY-NC",NA,3,"false"
"Doto amyra","2010-12-31 14:20:00 -0800","From past files .","Pillar Point , California",37.494935,-122.498197,"","Hammerhead Doto","https://www.inaturalist.org/observations/103849804","https://inaturalist-open-data.s3.amazonaws.com/photos/173914094/medium.jpeg","kevinhintsa",103849804,"Hammerhead Doto","Mollusca",47655,1,0,"2010/12/31 2:20 PM PST","2010-12-31","2010-12-31 22:20:00 UTC","Pacific Time (US & Canada)",841,841,"","","false","","",38530,"2021-12-28 22:48:53 UTC","2021-12-30 04:26:39 UTC","research","CC-BY-NC",NA,NA,"false"
