"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Branta canadensis","2018-04-23 18:47:06 -0700","","Emerald Bay State Park, South Lake Tahoe, CA, US",38.9516616667,-120.1063166667,"","Canada Goose","https://www.inaturalist.org/observations/113060161","https://static.inaturalist.org/photos/191023357/medium.jpg","eumomotasuperciliosa",113060161,"Canada Goose","Aves",7089,1,0,"2018-04-23 18:47:06-07:00","2018-04-23","2018-04-24 01:47:06 UTC","Pacific Time (US & Canada)",12,12,"","open","false","","",497820,"2022-04-27 05:33:15 UTC","2022-04-27 06:46:44 UTC","research","",NA,3,"false"
"Battus philenor hirsuta","2018-04-23 10:52:00 -0700","Wildlife camera","1801 E Cotati Ave, Rohnert Park, CA 94928, United States",38.3409222,-122.6730677,"","California Pipevine Swallowtail","https://www.inaturalist.org/observations/106501138","https://inaturalist-open-data.s3.amazonaws.com/photos/178917263/medium.jpeg","stjohnw",106501138,"California Pipevine Swallowtail","Insecta",334616,1,0,"2018/04/23 10:52 AM PDT","2018-04-23","2018-04-23 17:52:00 UTC","Pacific Time (US & Canada)",286,286,"","open","false","","",724908,"2022-02-10 17:27:17 UTC","2022-05-02 22:35:21 UTC","research","CC0",NA,NA,"false"
"Nymphalis antiopa","2018-04-23 10:50:10 -0700","","California Polytechnic State University, San Luis Obispo, CA, US",35.3092557595,-120.6585876465,"","Mourning Cloak","https://www.inaturalist.org/observations/104744914","https://inaturalist-open-data.s3.amazonaws.com/photos/175581037/medium.jpg","mjshoemaker",104744914,"Mourning Cloak","Insecta",56832,1,0,"Mon Apr 23 2018 10:50:10 GMT-0700 (PDT)","2018-04-23","2018-04-23 17:50:10 UTC","Pacific Time (US & Canada)",1389,1389,"","open","false","","",3754849,"2022-01-11 04:54:42 UTC","2022-01-11 06:38:01 UTC","research","CC-BY-NC",NA,3,"false"
"Gymnogyps californianus","2018-04-23 11:32:00 UTC","","California, US",34.4381762058,-118.9066631135,"","California Condor","https://www.inaturalist.org/observations/101448134","https://inaturalist-open-data.s3.amazonaws.com/photos/169429845/medium.jpg","pineten",101448134,"Cóndor californiano","Aves",4778,4,0,"2018/04/23 11:32 AM UTC","2018-04-23","2018-04-23 11:32:00 UTC","UTC",NA,28818,"","obscured","true","","",2048449,"2021-11-19 05:07:22 UTC","2021-11-26 23:18:42 UTC","research","",NA,NA,"false"
"Thamnophis atratus","2018-04-23 16:24:00 -0700","","Sonoma County, CA, USA",38.3505967211,-123.0646213129,"","Aquatic Garter Snake","https://www.inaturalist.org/observations/90992074","https://inaturalist-open-data.s3.amazonaws.com/photos/150444736/medium.jpeg","floydehayes",90992074,"Aquatic Garter Snake","Reptilia",28418,2,0,"2018/04/23 4:24 PM PDT","2018-04-23","2018-04-23 23:24:00 UTC","Pacific Time (US & Canada)",2,2,"","open","false","","",4176670,"2021-08-13 13:05:52 UTC","2022-04-07 06:14:38 UTC","research","CC-BY-NC",NA,NA,"false"
"Castilleja foliolosa","2018-04-23 11:33:00 -0700","","Rancho Palo Verde, Alpine, CA, US",32.8259688208,-116.7681542073,"","Woolly Indian Paintbrush","https://www.inaturalist.org/observations/84255930","https://static.inaturalist.org/photos/138462019/medium.jpg","jongreen",84255930,"Woolly Indian Paintbrush","Plantae",56760,1,0,"Mon Apr 23 2018 11:33:00 GMT-0700 (PDT)","2018-04-23","2018-04-23 18:33:00 UTC","Pacific Time (US & Canada)",310,310,"","","false","","",4133861,"2021-06-24 01:33:45 UTC","2021-06-26 13:33:40 UTC","research","",NA,3,"false"
"Crotalus oreganus helleri","2018-04-23 17:56:57 -0700","","San Diego, CA 92119, USA",32.8253575152,-117.0655753836,"","Southern Pacific Rattlesnake","https://www.inaturalist.org/observations/79729152","https://inaturalist-open-data.s3.amazonaws.com/photos/130614504/medium.jpeg","anewmark",79729152,"Southern Pacific Rattlesnake","Reptilia",30713,8,0,"2018-04-23 17:56:57","2018-04-23","2018-04-24 00:56:57 UTC","Pacific Time (US & Canada)",38,38,"","open","false","gps","gps",1691841,"2021-05-22 03:21:25 UTC","2022-01-09 13:45:27 UTC","research","CC-BY-NC",NA,2,"false"
"Carpobrotus chilensis","2018-04-23 11:23:00 -0700","purple and yellow flower observed growing wild by Alameda Creek but may well be an escaped cultivar as this is within an urban area - 2018 April 23","Centerville, Fremont, CA, USA",37.5733056016,-122.0112423018,"","Chilean sea fig","https://www.inaturalist.org/observations/74288034","https://inaturalist-open-data.s3.amazonaws.com/photos/121393276/medium.jpg","paulkdavis",74288034,"Chilean sea fig","Plantae",56026,0,0,"2018/04/23 11:23 AM PDT","2018-04-23","2018-04-23 18:23:00 UTC","Pacific Time (US & Canada)",4848,4848,"","","false","","",2266052,"2021-04-17 20:53:17 UTC","2021-09-05 22:13:19 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Sisyrinchium bellum","2018-04-23 18:35:22 -0700","","Diablo Lakes Ln, Diablo, CA, US",37.851475,-121.9536216667,"","western blue-eyed grass","https://www.inaturalist.org/observations/70269475","https://inaturalist-open-data.s3.amazonaws.com/photos/114199299/medium.jpg","gatoraceae",70269475,"western blue-eyed grass","Plantae",49918,1,0,"Mon Apr 23 2018 18:35:22 GMT-0700 (PDT)","2018-04-23","2018-04-24 01:35:22 UTC","Pacific Time (US & Canada)",NA,NA,"","","false","","",41640,"2021-02-27 19:37:17 UTC","2021-03-03 04:58:11 UTC","research","CC-BY-NC-ND",NA,3,"false"
"Parasola plicatilis","2018-04-23 08:01:43 -0700","","Bakersfield, CA 93305, USA",35.3848881369,-118.9941983297,"","pleated inkcap","https://www.inaturalist.org/observations/69606308","https://inaturalist-open-data.s3.amazonaws.com/photos/112977962/medium.jpeg","mrssweetwilly78",69606308,"pleated inkcap","Fungi",63583,1,0,"2018-04-23 8:01:43 AM PDT","2018-04-23","2018-04-23 15:01:43 UTC","Pacific Time (US & Canada)",304,304,"","","false","gps","gps",3101578,"2021-02-15 06:26:49 UTC","2021-04-05 13:39:33 UTC","research","CC-BY-NC",NA,2,"false"
