"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Nymphalis californica","2018-06-10 14:58:08 -0700","","Yosemite National Park, Yosemite National Park, CA, US",37.671325,-119.7006083333,"","California Tortoiseshell","https://www.inaturalist.org/observations/116380610","https://inaturalist-open-data.s3.amazonaws.com/photos/196450118/medium.jpg","katersrl",116380610,"California Tortoiseshell","Insecta",49920,2,0,"2018-06-10 14:58:08-07:00","2018-06-10","2018-06-10 21:58:08 UTC","Pacific Time (US & Canada)",10,10,"","","false","","",5653687,"2022-05-10 04:48:48 UTC","2022-05-12 04:26:12 UTC","research","CC-BY-NC",NA,3,"false"
"Junonia grisea","2018-06-10 14:11:37 -0700","","Nicobria Ln, Livermore, CA, US",37.6515166667,-121.7905416667,"","Gray Buckeye","https://www.inaturalist.org/observations/112234039","https://inaturalist-open-data.s3.amazonaws.com/photos/189566541/medium.jpg","fpdoty",112234039,"Gray Buckeye","Insecta",1021509,2,0,"2018-06-10 14:11:37-07:00","2018-06-10","2018-06-10 21:11:37 UTC","Pacific Time (US & Canada)",5,5,"","","false","","",5534432,"2022-04-21 04:20:49 UTC","2022-04-21 16:38:31 UTC","research","CC-BY-NC",NA,3,"false"
"Sciurus carolinensis","2018-06-10 13:45:00 UTC","Supposedly a color morph of the Eastern Gray","California, US",37.5883304027,-122.1276241978,"","Eastern Gray Squirrel","https://www.inaturalist.org/observations/111587132","https://inaturalist-open-data.s3.amazonaws.com/photos/188389316/medium.jpeg","alektritt",111587132,"Eastern Gray Squirrel","Mammalia",46017,1,0,"2018-06-10 13:45:00","2018-06-10","2018-06-10 13:45:00 UTC","UTC",2610,28388,"obscured","open","true","","",2740918,"2022-04-15 23:52:01 UTC","2022-04-16 18:47:12 UTC","research","CC-BY-NC",NA,2,"false"
"Oscularia","2018-06-10 17:10:32 -0700","","San Francisco",37.7726478577,-122.4592819214,"","Toothfigs","https://www.inaturalist.org/observations/109824698","https://inaturalist-open-data.s3.amazonaws.com/photos/185172265/medium.jpeg","kkjj",109824698,"","Plantae",60329,0,0,"Sun Jun 10 2018 17:10:32 GMT -0700 (PDT)","2018-06-10","2018-06-11 00:10:32 UTC","Pacific Time (US & Canada)",NA,NA,"","","false","","",2653625,"2022-03-29 10:28:11 UTC","2022-03-29 10:28:16 UTC","casual","CC-BY-NC",NA,333,"true"
"Lupinus","2018-06-10 12:18:13 -0700","","Fawn Cir, Arnold, CA, US",38.24113,-120.3748466667,"","lupines","https://www.inaturalist.org/observations/109124068","https://inaturalist-open-data.s3.amazonaws.com/photos/183861555/medium.jpg","kjentoft",109124068,"","Plantae",47121,0,0,"Sun Jun 10 2018 12:18:13 GMT-0700 (PDT)","2018-06-10","2018-06-10 19:18:13 UTC","Pacific Time (US & Canada)",10,10,"","","false","","",3398373,"2022-03-21 06:07:15 UTC","2022-03-21 06:07:23 UTC","needs_id","CC-BY-NC",NA,3,"false"
"Larus heermanni","2018-06-10 12:41:00 UTC","","アメリカ合衆国 カリフォルニア州 サンディエゴ ラ・ホーヤ",32.8328112,-117.2712717,"","Heermann's Gull","https://www.inaturalist.org/observations/108946581","https://inaturalist-open-data.s3.amazonaws.com/photos/183494987/medium.jpeg","kanayo",108946581,"Heermann's Gull","Aves",4353,2,0,"2018/06/10 12:41 PM UTC","2018-06-10","2018-06-10 12:41:00 UTC","UTC",13029,13029,"","","false","","",1610970,"2022-03-19 13:35:44 UTC","2022-03-29 16:47:51 UTC","research","CC-BY-NC",NA,NA,"false"
"Apantesis ornata","2018-06-10 07:23:12 -0700","","Castle Crags State Park, Dunsmuir, CA, US",41.1530388333,-122.311745,"","Ornate Tiger Moth","https://www.inaturalist.org/observations/106050906","https://inaturalist-open-data.s3.amazonaws.com/photos/178075857/medium.jpg","baskettep",106050906,"Ornate Tiger Moth","Insecta",321458,1,0,"Sun Jun 10 2018 07:23:12 GMT-0700 (PDT)","2018-06-10","2018-06-10 14:23:12 UTC","Pacific Time (US & Canada)",50,50,"","","false","","",5340045,"2022-02-03 02:28:21 UTC","2022-02-04 00:13:21 UTC","research","CC-BY-NC",NA,3,"false"
"Phloeodes diabolicus","2018-06-10 21:04:37 -0700","","California Polytechnic State University, San Luis Obispo, CA, US",35.3098224549,-120.6586455169,"","Diabolical Ironclad Beetle","https://www.inaturalist.org/observations/104720676","https://inaturalist-open-data.s3.amazonaws.com/photos/175533973/medium.jpg","mjshoemaker",104720676,"Diabolical Ironclad Beetle","Insecta",47590,2,0,"Sun Jun 10 2018 21:04:37 GMT-0700 (PDT)","2018-06-10","2018-06-11 04:04:37 UTC","Pacific Time (US & Canada)",1389,1389,"","","false","","",3754849,"2022-01-10 19:59:21 UTC","2022-01-12 05:24:07 UTC","research","CC-BY-NC",NA,3,"false"
"Balaenoptera musculus","2018-06-10 14:58:53 -0500","","",33.4523501376,-117.7562548368,"","Blue Whale","https://www.inaturalist.org/observations/101762734","https://inaturalist-open-data.s3.amazonaws.com/photos/169990039/medium.jpg","jackminter",101762734,"Blue Whale","Mammalia",41553,2,0,"Sun Jun 10 2018 14:58:53 GMT-0500 (CDT)","2018-06-10","2018-06-10 19:58:53 UTC","Central Time (US & Canada)",10278,28957,"","obscured","true","","",4408121,"2021-11-23 15:47:59 UTC","2021-12-21 10:58:19 UTC","research","CC-BY-NC",NA,3,"false"
"Latrodectus hesperus","2018-06-10 13:09:20 -0700","","Marine Corps Base Camp Pendleton, Oceanside, CA, US",33.2915290663,-117.3061173709,"","Western Black Widow","https://www.inaturalist.org/observations/101175370","https://static.inaturalist.org/photos/168933380/medium.jpg","eridanlover",101175370,"Viúva-negra-ocidental","Arachnida",47382,1,0,"Sun Jun 10 2018 13:09:20 GMT-0700 (PDT)","2018-06-10","2018-06-10 20:09:20 UTC","Pacific Time (US & Canada)",11,11,"","","false","","",364244,"2021-11-15 06:30:36 UTC","2021-12-21 00:31:22 UTC","research","",NA,3,"false"
"Caryophyllaceae","2018-06-10 12:22:00 -0700","","Lake Tahoe Basin Management Unit USFS, El Dorado, California, United States",38.7810472222,-120.0000138889,"","pink family","https://www.inaturalist.org/observations/99047348","https://inaturalist-open-data.s3.amazonaws.com/photos/165034187/medium.jpg","serpophaga",99047348,"Pink Family","Plantae",48567,0,0,"2018/06/10 12:22 PM PDT","2018-06-10","2018-06-10 19:22:00 UTC","Pacific Time (US & Canada)",5,5,"","","false","","",173183,"2021-10-23 03:29:11 UTC","2021-10-23 03:29:11 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Dodecatheon","2018-06-10 11:40:00 -0700","","Lake Tahoe Basin Management Unit USFS, El Dorado, California, United States",38.7777222222,-119.9975277778,"","Shooting Stars","https://www.inaturalist.org/observations/99047345","https://inaturalist-open-data.s3.amazonaws.com/photos/165034140/medium.jpg","serpophaga",99047345,"shooting stars","Plantae",742759,1,0,"2018/06/10 11:40 AM PDT","2018-06-10","2018-06-10 18:40:00 UTC","Pacific Time (US & Canada)",5,5,"","","false","","",173183,"2021-10-23 03:29:10 UTC","2022-02-01 01:48:09 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Erythranthe","2018-06-10 11:36:00 -0700","","Lake Tahoe Basin Management Unit USFS, El Dorado, California, United States",38.7777277778,-119.9972,"","","https://www.inaturalist.org/observations/99047344","https://inaturalist-open-data.s3.amazonaws.com/photos/165034034/medium.jpg","serpophaga",99047344,"Erythranthe","Plantae",319976,0,0,"2018/06/10 11:36 AM PDT","2018-06-10","2018-06-10 18:36:00 UTC","Pacific Time (US & Canada)",5,5,"","","false","","",173183,"2021-10-23 03:29:10 UTC","2021-10-23 03:29:10 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Pinus","2018-06-10 11:39:00 -0700","Among others","Lake Tahoe Basin Management Unit USFS, El Dorado, California, United States",38.7775833333,-119.9976666667,"","pines","https://www.inaturalist.org/observations/99047343","https://inaturalist-open-data.s3.amazonaws.com/photos/165034113/medium.jpg","serpophaga",99047343,"Pines","Plantae",47561,0,0,"2018/06/10 11:39 AM PDT","2018-06-10","2018-06-10 18:39:00 UTC","Pacific Time (US & Canada)",30,30,"","","false","","",173183,"2021-10-23 03:29:10 UTC","2021-10-23 03:29:10 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Mertensia ciliata","2018-06-10 11:35:00 -0700","","Lake Tahoe Basin Management Unit USFS, El Dorado, California, United States",38.7774,-119.9970166667,"","mountain bluebells","https://www.inaturalist.org/observations/99047341","https://inaturalist-open-data.s3.amazonaws.com/photos/165034004/medium.jpeg","serpophaga",99047341,"Mountain Bluebells","Plantae",78018,0,0,"2018/06/10 11:35 AM PDT","2018-06-10","2018-06-10 18:35:00 UTC","Pacific Time (US & Canada)",5,5,"","","false","","",173183,"2021-10-23 03:29:09 UTC","2021-10-23 03:29:09 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Fragaria virginiana","2018-06-10 11:25:00 -0700","","Lake Tahoe Basin Management Unit USFS, El Dorado, California, United States",38.7778666667,-119.9972527778,"","Virginia strawberry","https://www.inaturalist.org/observations/99047340","https://inaturalist-open-data.s3.amazonaws.com/photos/165033946/medium.jpg","serpophaga",99047340,"Virginia strawberry","Plantae",77155,1,0,"2018/06/10 11:25 AM PDT","2018-06-10","2018-06-10 18:25:00 UTC","Pacific Time (US & Canada)",10,10,"","","false","","",173183,"2021-10-23 03:29:09 UTC","2022-04-15 16:32:44 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Viola macloskeyi","2018-06-10 11:34:00 -0700","","Lake Tahoe Basin Management Unit USFS, El Dorado, California, United States",38.7771861111,-119.997025,"","small white violet","https://www.inaturalist.org/observations/99047338","https://inaturalist-open-data.s3.amazonaws.com/photos/165033965/medium.jpeg","serpophaga",99047338,"small white violet","Plantae",55632,1,0,"2018/06/10 11:34 AM PDT","2018-06-10","2018-06-10 18:34:00 UTC","Pacific Time (US & Canada)",10,10,"","open","false","","",173183,"2021-10-23 03:29:09 UTC","2021-11-05 21:27:11 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Veratrum californicum","2018-06-10 11:25:00 -0700","","Lake Tahoe Basin Management Unit USFS, El Dorado, California, United States",38.7786944444,-119.9981,"","Corn Lily","https://www.inaturalist.org/observations/99047336","https://inaturalist-open-data.s3.amazonaws.com/photos/165033914/medium.jpeg","serpophaga",99047336,"Corn Lily","Plantae",60500,1,0,"2018/06/10 11:25 AM PDT","2018-06-10","2018-06-10 18:25:00 UTC","Pacific Time (US & Canada)",2576,2576,"","","false","","",173183,"2021-10-23 03:29:08 UTC","2021-10-23 14:25:29 UTC","research","CC-BY-NC",NA,NA,"false"
"Viola","2018-06-10 11:23:00 -0700","","Lake Tahoe Basin Management Unit USFS, El Dorado, California, United States",38.7787138889,-119.9981694444,"","violets","https://www.inaturalist.org/observations/99047335","https://inaturalist-open-data.s3.amazonaws.com/photos/165033860/medium.jpeg","serpophaga",99047335,"Violets","Plantae",50829,0,0,"2018/06/10 11:23 AM PDT","2018-06-10","2018-06-10 18:23:00 UTC","Pacific Time (US & Canada)",10,10,"","","false","","",173183,"2021-10-23 03:29:08 UTC","2021-11-05 21:33:17 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Beccabunga","2018-06-10 11:06:00 -0700","","Lake Tahoe Basin Management Unit USFS, El Dorado, California, United States",38.780875,-120.0000388889,"","","https://www.inaturalist.org/observations/99047334","https://inaturalist-open-data.s3.amazonaws.com/photos/165033834/medium.jpg","serpophaga",99047334,"Beccabunga","Plantae",738344,2,0,"2018/06/10 11:06 AM PDT","2018-06-10","2018-06-10 18:06:00 UTC","Pacific Time (US & Canada)",10,10,"","open","false","","",173183,"2021-10-23 03:29:08 UTC","2021-10-24 17:25:17 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Mitella breweri","2018-06-10 10:58:00 -0700","","Lake Tahoe Basin Management Unit USFS, El Dorado, California, United States",38.7827444444,-120.0004666667,"","Brewer's Mitrewort","https://www.inaturalist.org/observations/99047332","https://inaturalist-open-data.s3.amazonaws.com/photos/165033762/medium.jpg","serpophaga",99047332,"Brewer's Miterwort","Plantae",165475,0,0,"2018/06/10 10:58 AM PDT","2018-06-10","2018-06-10 17:58:00 UTC","Pacific Time (US & Canada)",10,10,"","","false","","",173183,"2021-10-23 03:29:07 UTC","2021-10-23 03:29:07 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Agoseris","2018-06-10 10:47:00 -0700","","El Dorado County, CA, USA",38.7856777778,-120.0019138889,"","mountain dandelion","https://www.inaturalist.org/observations/99047331","https://inaturalist-open-data.s3.amazonaws.com/photos/165033711/medium.jpeg","serpophaga",99047331,"Mountain Dandelion","Plantae",52829,0,0,"2018/06/10 10:47 AM PDT","2018-06-10","2018-06-10 17:47:00 UTC","Pacific Time (US & Canada)",30,30,"","","false","","",173183,"2021-10-23 03:29:07 UTC","2021-10-23 03:29:07 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Toxicoscordion venenosum","2018-06-10 10:40:00 -0700","","Lake Tahoe Basin Management Unit USFS, El Dorado, California, United States",38.8098972222,-119.997475,"","Meadow Deathcamas","https://www.inaturalist.org/observations/99047329","https://inaturalist-open-data.s3.amazonaws.com/photos/165033683/medium.jpeg","serpophaga",99047329,"Meadow Deathcamas","Plantae",59087,0,0,"2018/06/10 10:40 AM PDT","2018-06-10","2018-06-10 17:40:00 UTC","Pacific Time (US & Canada)",10696,10696,"","","false","","",173183,"2021-10-23 03:29:07 UTC","2021-10-23 03:29:07 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Sceloporinae","2018-06-10 16:09:00 UTC","","Nuevo, California",33.801408,-117.145866,"","Sceloporine Lizards","https://www.inaturalist.org/observations/93639821","https://static.inaturalist.org/photos/155216053/medium.jpg","rocketjfriend",93639821,"Sceloporine Lizards","Reptilia",797562,3,0,"2018/06/10 4:09 PM UTC","2018-06-10","2018-06-10 16:09:00 UTC","UTC",5533,5533,"","open","false","","",4919041,"2021-09-04 21:35:13 UTC","2021-11-28 07:26:06 UTC","needs_id","",NA,NA,"false"
"Actinemys marmorata","2018-06-10 15:41:00 -0700","Juvenile","California, US",40.3058586912,-122.5744829155,"","Western Pond Turtle","https://www.inaturalist.org/observations/93311949","https://static.inaturalist.org/photos/154636973/medium.jpg","brianhubbs",93311949,"Western Pond Turtle","Reptilia",73592,2,0,"2018/06/10 3:41 PM MST","2018-06-10","2018-06-10 22:41:00 UTC","Arizona",4,27969,"obscured","open","true","","",2325384,"2021-09-01 23:39:17 UTC","2021-10-08 00:55:55 UTC","research","",NA,NA,"false"
"Fremontodendron californicum","2018-06-10 17:48:00 -0700","","Ventura County, CA, USA",34.6069882,-119.3563704,"","California flannelbush","https://www.inaturalist.org/observations/90554111","https://inaturalist-open-data.s3.amazonaws.com/photos/149671623/medium.jpeg","valhikes",90554111,"California flannelbush","Plantae",63609,1,0,"2018/06/10 5:48 PM PDT","2018-06-10","2018-06-11 00:48:00 UTC","Pacific Time (US & Canada)",NA,NA,"","","false","","",2847895,"2021-08-09 16:51:43 UTC","2021-08-09 21:54:30 UTC","research","CC-BY-NC-ND",NA,NA,"false"
