"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Phalaenoptilus nuttallii","2018-03-18 21:42:00 -0700","","California, US",33.9631015713,-117.6309397942,"","Common Poorwill","https://www.inaturalist.org/observations/116831043","https://inaturalist-open-data.s3.amazonaws.com/photos/197246908/medium.jpeg","jmugleston",116831043,"Common Poorwill","Aves",19609,1,0,"2018/03/18 9:42 PM","2018-03-18","2018-03-19 04:42:00 UTC","Pacific Time (US & Canada)",1802,28902,"obscured","open","true","","",1897795,"2022-05-13 14:13:15 UTC","2022-05-13 16:21:44 UTC","research","CC-BY-NC",NA,NA,"false"
"Pinus coulteri","2018-03-18 12:22:04 -0700","","Descanso",32.9004631042,-116.4662322998,"","Coulter pine","https://www.inaturalist.org/observations/116509326","https://inaturalist-open-data.s3.amazonaws.com/photos/196677120/medium.jpeg","fremontii",116509326,"","Plantae",67330,0,0,"Sun Mar 18 2018 12:22:04 GMT -0700 (PDT)","2018-03-18","2018-03-18 19:22:04 UTC","Pacific Time (US & Canada)",NA,NA,"","open","false","","",5659872,"2022-05-11 02:28:37 UTC","2022-05-11 02:28:55 UTC","needs_id","CC-BY-NC",NA,333,"false"
"Letharia","2018-03-18 12:42:24 -0700","","Descanso",32.8913078308,-116.4626617432,"","Wolf Lichens","https://www.inaturalist.org/observations/116509285","https://inaturalist-open-data.s3.amazonaws.com/photos/196677039/medium.jpeg","fremontii",116509285,"","Fungi",54623,0,0,"Sun Mar 18 2018 12:42:24 GMT -0700 (PDT)","2018-03-18","2018-03-18 19:42:24 UTC","Pacific Time (US & Canada)",NA,NA,"","","false","","",5659872,"2022-05-11 02:28:13 UTC","2022-05-11 02:28:29 UTC","needs_id","CC-BY-NC",NA,333,"false"
"Helminthoglypta tudiculata","2018-03-18 22:27:00 -0700","","California, US",33.8705238711,-117.781217254,"","Southern California Shoulderband Snail","https://www.inaturalist.org/observations/116507285","https://inaturalist-open-data.s3.amazonaws.com/photos/196665943/medium.jpeg","jmugleston",116507285,"Southern California Shoulderband Snail","Mollusca",221102,1,0,"2018/03/18 10:27 PM","2018-03-18","2018-03-19 05:27:00 UTC","Pacific Time (US & Canada)",1802,28902,"obscured","","true","","",1897795,"2022-05-11 02:07:42 UTC","2022-05-17 20:06:40 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Helminthoglypta tudiculata","2018-03-18 21:24:00 -0700","","California, US",33.9248922757,-117.7649252047,"","Southern California Shoulderband Snail","https://www.inaturalist.org/observations/116507284","https://inaturalist-open-data.s3.amazonaws.com/photos/196665967/medium.jpeg","jmugleston",116507284,"Southern California Shoulderband Snail","Mollusca",221102,1,0,"2018/03/18 9:24 PM","2018-03-18","2018-03-19 04:24:00 UTC","Pacific Time (US & Canada)",1802,28902,"obscured","","true","","",1897795,"2022-05-11 02:07:41 UTC","2022-05-13 04:56:20 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Annaphila","2018-03-18 15:05:00 -0700","","200 Palm Canyon Dr, Borrego Springs, CA 92004, USA",33.100492,-116.3013266,"","","https://www.inaturalist.org/observations/113160363","https://inaturalist-open-data.s3.amazonaws.com/photos/191195512/medium.jpeg","ncrosby",113160363,"Annaphila","Insecta",209789,2,0,"2018/03/18 3:05 PM","2018-03-18","2018-03-18 22:05:00 UTC","Pacific Time (US & Canada)",57680,57680,"","","false","","",2781857,"2022-04-28 00:09:31 UTC","2022-04-28 04:40:24 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"Phrynosoma blainvillii","2018-03-18 13:26:00 UTC","Maker:L,Date:2017-9-12,Ver:5,Lens:Kan03,Act:Kan02,E-Y","Santa Barbara County, US-CA, US",34.519455038,-119.7184634664,"","Blainville's Horned Lizard","https://www.inaturalist.org/observations/109902079","https://static.inaturalist.org/photos/185317384/medium.jpg","elliotlowndes",109902079,"Blainville's Horned Lizard","Reptilia",146354,3,0,"2018/03/18 1:26 PM UTC","2018-03-18","2018-03-18 13:26:00 UTC","UTC",NA,28818,"","obscured","true","","",2755222,"2022-03-30 05:59:36 UTC","2022-03-31 03:17:05 UTC","research","",NA,NA,"false"
"Dendroalsia abietina","2018-03-18 12:01:13 -0700","","La Honda",37.3071594238,-122.1820297241,"","dendroalsia moss","https://www.inaturalist.org/observations/109824754","https://inaturalist-open-data.s3.amazonaws.com/photos/185172360/medium.jpeg","kkjj",109824754,"dendroalsia moss","Plantae",55340,1,0,"Sun Mar 18 2018 12:01:13 GMT -0700 (PDT)","2018-03-18","2018-03-18 19:01:13 UTC","Pacific Time (US & Canada)",NA,NA,"","","false","","",2653625,"2022-03-29 10:29:56 UTC","2022-03-29 13:38:02 UTC","research","CC-BY-NC",NA,333,"false"
"Bos taurus","2018-03-18 15:49:34 -0700","","Point Reyes National Seashore, Inverness, CA, US",38.0436666667,-122.9704583333,"","Domestic Cow","https://www.inaturalist.org/observations/107508769","https://static.inaturalist.org/photos/180830609/medium.jpg","mbworldexplorer",107508769,"Hausrind","Mammalia",74113,1,0,"Sun Mar 18 2018 15:49:34 GMT-0700 (PDT)","2018-03-18","2018-03-18 22:49:34 UTC","Pacific Time (US & Canada)",10,10,"","","false","","",914664,"2022-02-26 22:03:38 UTC","2022-02-27 10:36:28 UTC","casual","",NA,3,"true"
"Mirounga angustirostris","2018-03-18 15:12:20 -0700","","Point Reyes National Seashore, Inverness, CA, US",37.9974533333,-122.9822833333,"","Northern Elephant Seal","https://www.inaturalist.org/observations/107508726","https://static.inaturalist.org/photos/180830510/medium.jpg","mbworldexplorer",107508726,"Northern Elephant Seal","Mammalia",41728,2,0,"Sun Mar 18 2018 15:12:20 GMT-0700 (PDT)","2018-03-18","2018-03-18 22:12:20 UTC","Pacific Time (US & Canada)",5,5,"","open","false","","",914664,"2022-02-26 22:02:39 UTC","2022-02-27 00:39:11 UTC","research","",NA,3,"false"
